内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
汤臣倍健，社畜熬夜的赎罪券,banfo,开头金句,激昂,8f6ea6252b6c2e01218f4bccc20433ba,9.0,待处理,概念嫁接 + 情感共鸣,"共情,煽情"
千万注意，要在开奖后5天内填写地址，过期作废，也可以查看过去的记录及时填写。,banfo,行动号召,激昂,46d3a2d9c6503b8e7d23dbd7e501849f,3.0,待处理,制造紧迫感,逻辑
我爱这个魔幻的世界,banfo,金句语录,积极,f0468c613acb62d1e0656aeb03d42eb4,6.0,待处理,情感升华,煽情
如果再年轻10岁，我根本看不起保健品，甚至嘲笑吃的人，觉得好好吃饭睡觉就行，吃保健品是智商税。可惜我不年轻了，活成了自己曾经看不起的样子。,banfo,开头金句,消极,da89733011f2fe1ed1a969c61214a608,8.0,待处理,先抑后扬 + 身份认同转变,逻辑
现在一天不吃保健品我都受不了，不是身体上，而是心理上。因为好好睡觉已成奢侈。生活的回旋镖，打在了我的脸上。,banfo,正文段落,激昂,c4d7cd826e816c37cd86564bd2e9a529,9.0,待处理,因果递进 + 情感共鸣,"共情,煽情"
你吃的不是保健品，而是熬夜的赎罪券。,banfo,金句语录,激昂,e13a3e26964cee5596331a62df55e401,10.0,待处理,概念偷换 + 精准比喻,逻辑
保健品，已经事实上成为了一个类似饮料的快消品市场。,banfo,正文段落,中性,3b29d9b37dc02e7f1a427d59345255e9,7.0,待处理,洞察总结,逻辑
你的体检报告单，就是汤臣倍健的提货单。,banfo,金句语录,激昂,f615361817b37782f9c0ba053f5b0736,9.0,待处理,类比 + 讽刺,毒舌
保健品流行的根本原因，是社畜病的流行。,banfo,正文段落,中性,625af26ee6eae780f8159c6b8b19999c,7.0,待处理,因果洞察,逻辑
大厂楼下随便拉个人，都能给你爆出五六种亚健康症状。拉够四个人，能凑出一桌死亡麻将，每个牌子都是一种职业病。攒出一把十三幺，直接原地升天。,banfo,正文段落,激昂,8fd7d8254ca8ca3b9cb2f82ca7245486,8.0,待处理,夸张比喻 + 黑色幽默,逻辑
社畜病，无药可医。因为根源在生活方式。你说，我能调整。说笑了。能调整，就不是社畜了。,banfo,正文段落,消极,becf9257b1949095c77b2d2f106a2623,8.0,待处理,逻辑闭环 + 身份定义,逻辑
一次早高峰堵车，就能把你的一日三餐堵成一天两顿。一次通宵加班，就能把你的睡眠时间从东八区踹到西八区。真的西八。,banfo,正文段落,激昂,17a78baad9d74d8ddfce42afbb39b51f,8.0,待处理,场景化描写 + 情绪宣泄,逻辑
即便我们说了多少遍人生就是要梭哈，要卷就往死里卷，不加班是不可能的。但现实中，我们还是怕死。于是保健品就来了。,banfo,正文段落,激昂,1c3f0733f0bb05be9867117db4d3dbc9,8.0,待处理,矛盾揭示 + 因果承接,逻辑
你的苦恼，就成了厂商的生产计划表。,banfo,金句语录,消极,a61083792bf907bb2d8c3c0735ed18ff,8.0,待处理,精准比喻,逻辑
一打开药盒，各种保健品排列组合，整齐得像是要给甲方看的PPT。一口水下去，直接就是一个食疗八宝粥。,banfo,正文段落,激昂,cf4a1feadae4ce791fecd9d670501d80,8.0,待处理,场景化描写 + 幽默比喻,逻辑
保健品有点像母婴用品，买的不止是需求，也是心安。,banfo,正文段落,中性,9a43e770cd418190aaa6e8e8db3a5b72,7.0,待处理,类比洞察,逻辑
但想法不会是‘这么贵有什么用’，而是‘这么贵应该不会差’。我的命这么值钱，怎么能用便宜货呢？,banfo,正文段落,激昂,e18ff0fb30024643b034a525979d005d,8.0,待处理,心理洞察 + 反问强调,逻辑
别的市场都是越便宜越好，这个市场是越贵消费者越安心。,banfo,正文段落,中性,b74d864bde9bfac94e2dac403ee68c0b,7.0,待处理,对比洞察,对比
因为这个世界上，除了我自己，没有人会关心我。所以，我更要关心我自己。,banfo,金句语录,积极,aa0a3cba46038f43acc0d3f618b793dd,9.0,待处理,情感共鸣 + 自我激励,"共情,煽情"
燕窝能在送礼维度上战胜猪蹄，就在于它体面。上得了台面，且普遍需要，保健品自然会成为社交货币。,banfo,正文段落,中性,7ea4dbd04d81f00df8931e6f596bfd5e,7.0,待处理,对比分析 + 概念提炼,"逻辑,对比"
嘴里说，我命苦，要吃保健品续命。心理想的是，我很忙，很有价值，很能卷。我，吃，的，贵。,banfo,正文段落,激昂,b14e5b8d2d6b0b9e43cee6ef6a0fe975,8.0,待处理,表里不一 + 身份炫耀,逻辑
保健品，恰好就是一种‘卷’的证明。同时，越贵的保健品，也证明我活得越精致，我的命越值钱。,banfo,正文段落,激昂,e55cf208b6741cb18790520d298502f6,8.0,待处理,价值符号化,逻辑
用最贵的保健品，加最长的班。,banfo,金句语录,激昂,b12ca3965d32eadbab2d4a98f475e12f,9.0,待处理,矛盾并列 + 讽刺,毒舌
你的体检报告单，就是一个新消费调研报告。,banfo,金句语录,中性,28f935f8dbba4e9e75557b1efca2a353,7.0,待处理,类比 + 洞察,逻辑
毕竟真正自律的人，哪里会需要靠保健品续命。不自律的人，买了保健品，也不会记得吃。,banfo,正文段落,消极,27f2f48ff6d3950637e7fd77606fef29,7.0,待处理,逻辑悖论,逻辑
毕竟‘社畜’不是一种身份，是一种生活。你的生活，已经注定了你不可能自律。,banfo,正文段落,消极,6573d57cc423682842bfb94b319e66f2,8.0,待处理,身份定义 + 宿命论,逻辑
于是，你将命运交托给了保健品，付款下单。就像你买私教课准备健身，买装备准备运动一样。,banfo,正文段落,消极,a0c9406bf32ea1ae1834577a723886a5,7.0,待处理,类比 + 行为模式总结,逻辑
它从一种改善生活的手段，变成了你证明自己依然活在潮流里的证明。吃不吃，已经无所谓了。因为保健品，就不是用来吃的，而是一种氛围。,banfo,正文段落,激昂,0dd257d0f1fc3150850a16cf49a5a74b,9.0,待处理,功能异化 + 本质洞察,逻辑
保健品的本质，是熬夜的赎罪券。而赎罪券最大的好处，就是你不必真的去额外做什么。,banfo,金句语录,激昂,b69b8204132ae3c4a15e490fb805fe36,10.0,待处理,本质定义 + 功能揭示,逻辑
生活，尿了。汤臣倍健，笑了。,banfo,行动号召,激昂,33b164bda6d8fe1697720a58d93307fb,9.0,待处理,对比讽刺 + 收尾金句,"毒舌,对比"
我停更，摇一摇广告的户口本飞升,banfo,开头金句,激昂,08404d640b5b2c8dfc309e153eff41d6,8.0,待处理,事件宣告 + 隐喻讽刺,毒舌
千万注意，要在开奖后5天内填写地址，过期作废。小程序5天后会自动关闭地址输入口，也可以查看过去的记录，及时填写。,banfo,行动号召,激昂,76cf404cb93340fda7866c93975de26a,3.0,待处理,明确指令 + 后果警告 + 提供便利,逻辑
一个帮助大家跳过摇一摇广告的APP，吃了函，打算无限期停更。,banfo,正文段落,消极,a50cbf87697b46e49c137c4d088f845d,7.0,待处理,问题升级 + 讽刺,毒舌
这可真是魔幻的妈妈给魔幻开门，魔幻到家了。魔幻的到家之后不小心摸到了电门，魔幻麻了。魔幻的妈妈为了送魔幻去医院，放在推车上，推魔幻了。推到半路嫌太慢，给魔幻装到火箭上发过去，魔幻上天了。,banfo,正文段落,激昂,b5eac9f8ad454a9c7ca491db0b9598b4,8.0,待处理,夸张递进 + 情绪渲染,逻辑
你只是手机动了下，这个广告就自己动了，不知道的还以为遇到了灵异事件，但这个灵异事件变成了让你看广告，可见阴间也卷。,banfo,正文段落,消极,d9ecf0c1b30ca3d0031656a134d22f9b,8.0,待处理,类比 + 讽刺,毒舌
大概相当于大半夜你走在寂寞的路上，突然出现了一个非常可疑的粉色发廊，有一个猛男穿着黑丝带着大波浪的发型问你来不来，你刚说了一个如来，眼前一黑，再醒过来已经在踩缝纫机了。,banfo,正文段落,激昂,1632716a82ad069f1efdbafb31ae2695,9.0,待处理,场景类比 + 荒诞叙事,逻辑
你刷小说短视频贴吧刷得开心，它突然一下弹到你的脸上，然后光速拉起你的电商APP，告诉你开心早了。你刷音乐APP emo的时候，它又弹你脸上，告诉你人生还能更加糟糕。,banfo,正文段落,消极,8e462e63b7faae6b8334646d67070955,7.0,待处理,场景列举 + 情感共鸣,"共情,煽情"
有的时候你上班马上迟到了，后面一堆人等着你过地铁闸机，你打开APP的时候它咔给你一个跳转，诶我知道你很急，你先别急，你看这一道红光，像不像你消失的全勤奖。,banfo,正文段落,激昂,e42f858761c9a8edca660b22b65e0c3f,8.0,待处理,场景共鸣 + 讽刺,"毒舌,共情"
你听听，我自己的手机，我要下一个APP拦截另一个APP去跳转一个新APP，敢情我这是请董卓来了。,banfo,正文段落,消极,de21304d75bbe1c487762a40484fa63f,7.0,待处理,类比 + 讽刺,毒舌
上一次这种体验还是下载国产免费杀毒软件，是流氓软件没了，因为来了个大流氓，我成了大流氓的专属玩具。,banfo,正文段落,消极,81df8948aa937062af382f3c645314c2,7.0,待处理,类比 + 讽刺,毒舌
还有广告后面藏广告，跳转后面藏跳转的套娃广告。还会有关闭按钮跟主页界面一样颜色，或者直接藏在广告文字里的广告。有的关闭按钮还会跑，跟妲己一样，主人你来抓我呀。,banfo,正文段落,激昂,116b050df9d27dc4dc83621b0c5e3aac,8.0,待处理,列举 + 拟人化讽刺,毒舌
那回我打开个做菜软件，正琢磨咋炒呢，结果它一个厨子不研究做菜，开始研究上兵法了，故意在有关闭广告按钮的位置天降红包，挡住关闭键，给我玩上道具赛了。,banfo,正文段落,激昂,ec8850a1120c59fdfa07b0ed13c9f4aa,8.0,待处理,场景叙事 + 讽刺,毒舌
然后我一看排骨，都粘锅了，美拉德的美德都没了，只剩拉了。,banfo,正文段落,激昂,4f73943366ff8e774b6ceaeeeb0b2407,7.0,待处理,谐音梗 + 情绪宣泄,逻辑
当时气得我大骂设计这个产品的人贡品必被偷吃，骨灰盒公摊面积80%，上面贴照片都是标清的，马赛克打嘴上。,banfo,正文段落,激昂,93bfeb56e3f4d2ca8596f09789988321,8.0,待处理,诅咒式讽刺 + 夸张,毒舌
赵本山老师忽悠范伟老师的时候都没这么丝滑灵活。,banfo,正文段落,消极,ecf0f7b097709ba4c93685e2c74a46bc,7.0,待处理,类比 + 讽刺,毒舌
我都担心它打开的APP也关联了它，这两个APP再互相跳，我手机能震成无人机，直接去给发明者的坟头人工降雨。,banfo,正文段落,激昂,86777650427ede2c9f091c709621e116,8.0,待处理,夸张想象 + 诅咒式讽刺,毒舌
好好好，这么搞是吧，那你咋不再进化进化，直接拿我支付宝给你转钱呢，我马上买通牛头马面，阴间护你周全。,banfo,正文段落,激昂,317f9e729d845b699efb91185e219189,8.0,待处理,讽刺性建议 + 诅咒,毒舌
啊真的我哭死，发明者的户口本比冈本001都超薄，他自己都没有家人，居然能给人家下个全家桶，下一次疯狂星期四没有他我不看。,banfo,正文段落,激昂,8a51daa01be3ace69689efdaa366cdd8,7.0,待处理,诅咒式讽刺 + 网络梗,毒舌
我真的谢谢始作俑者，你这个天打雷劈的好心人，地府下油锅你坐头等舱。,banfo,正文段落,激昂,48a833fd40c06faf491aca298cad56cf,8.0,待处理,反讽 + 诅咒,逻辑
我正玩得爽呢，你突然弹出个电商平台来恶心我，逼我购买，我不认。就像是你去商店，有人推销，你如果理他了，那说明你感兴趣。但现在是你进去之后啥都没看到了就直接给你关推销员衣柜里了让你掏钱，这你能认吗？,banfo,正文段落,激昂,a70ff47001a4ef393d8bc26d162003b4,8.0,待处理,类比论证 + 情绪宣泄,逻辑
我不骂你都是素质高，不打你是因为互联网信号不支持。甚至真要打你，消费者都排不上号，甲方在前面排队呢。消费者失去了几秒时间，甲方那失去的是真金白银。,banfo,正文段落,激昂,21af0022806425227638e735860c0601,8.0,待处理,对比论证 + 讽刺,"毒舌,对比"
广告界有一句话是这么说的：宣传经费里有一半是被浪费的，但你永远不知道是哪一半。摇一摇广告创新性地终结了这个问题，因为直接全都浪费了。,banfo,金句语录,消极,758ee1b64e1b7af2afd3e854a10b7674,9.0,待处理,引用 + 讽刺性转折,毒舌
到底是谁在摇一摇跳转的那一刻没有选择破口大骂，而是选择偷偷的购买，惊艳所有人呢？这就是人类的M属性大爆发吗？,banfo,正文段落,消极,0ab4deb8867e41e2ccd9d13b14893626,7.0,待处理,设问 + 讽刺,毒舌
只能说，我爱这个魔幻的世界。,banfo,正文段落,消极,402105df4ba2c1aab83a90669888092a,7.0,待处理,反讽收尾,逻辑
