内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
真正的老司机，话少活多？,banfo,开头金句,激昂,d08f353ad037efcc9f9269eab956fcb9,7.0,待处理,设问 + 刻板印象颠覆,逻辑
总结一下，就是“高速不软、长途不虚、越野不慌”。,banfo,金句语录,激昂,1510b6322156e03b878aae3c70725331,8.0,待处理,排比强调,逻辑
但是考虑到城市用车最核心的竞争力是省钱。,banfo,正文段落,中性,7bcf26d19f902a78d3a68c42da3eb4db,6.0,待处理,转折点明核心,逻辑
还是建议充满电当电车开，比较实惠。,banfo,正文段落,中性,e3a8dbea7f8c07cd907dd2496fbb368b,5.0,待处理,实用建议,逻辑
可实现平均时速100公里的长途高速续航里程增加4.3%，可实现长途高速续航提升50KM。,banfo,正文段落,中性,864a1ac4b8775e7b33aab6cb8443c414,5.0,待处理,数据论证,数据流
也就是后驱电机自己跑自己的，发动机可以更专心的用来充电，增加续航。,banfo,正文段落,中性,ed40a2f27ecc92f9ab23ee7ce990374f,6.0,待处理,通俗化解释技术,逻辑
与CarPlay的简单投射不同，Flyme Auto做到了“算力上车”、“无感连接”。,banfo,正文段落,积极,b7fa419a23f474cfd7457eefa74b9bbd,7.0,待处理,对比突出优势,对比
即使没有魅族的手机，Flyme Auto也可以独立运作，提供完整的“车需生态”。,banfo,正文段落,积极,5606732d014e0f965db40b0bf29cee47,6.0,待处理,消除顾虑,逻辑
我觉得领克在发布会上喊出的性能专家、安全世家、科技玩家，并不是一张饼。,banfo,正文段落,积极,2f857c65ef2b23689a486d44b9f0bb09,7.0,待处理,肯定承诺,逻辑
讲真，或许十年后二十年后，回头看就会觉得混动也不是新能源的最优解。,banfo,正文段落,中性,e690d07198b659732bccd54ff35e65ae,6.0,待处理,拉长时间视角,逻辑
但是，这都是马后炮了。人生能有几个二十年？,banfo,金句语录,激昂,858f2475826fa444bea1f822076e6b33,8.0,待处理,反问制造紧迫感,逻辑
是当下的最优解就不错了。,banfo,正文段落,中性,c11a933257d07dde89d387def6c50606,6.0,待处理,务实主义,逻辑
