内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
美心月饼的跳，血糖嗷嗷叫,banfo,开头金句,激昂,44cb0c355efb24e9e5fb7d2bd2d980e1,8.0,待处理,制造悬念 + 感官冲击,逻辑
美心月饼卖的都不是月饼，是三节棍；除了奥林匹克，我就没见过杠杆玩得这么好的选手。,banfo,金句语录,激昂,2aafba44fb8a428f8ba0141a80c982ea,9.0,待处理,夸张类比 + 制造反差,对比
一般一个东西的含量很多，我们叫做XX炸弹。但美心不一样，它该叫核弹。,banfo,金句语录,激昂,e97b45fb619d9078b3bc3e8ab9368ad2,8.0,待处理,递进夸张,逻辑
核弹上面也是可以有二向箔的，核弹也就是让你的血糖起起伏伏，二向箔直接拉平你的心电图。,banfo,金句语录,激昂,a70e4bf256d7e96746d0e74a50b1b2ad,9.0,待处理,科幻梗 + 递进夸张,逻辑
一口下去，就好像死了似乎也没啥关系，嫦娥要是在月球顿顿吃这玩意，我怀疑她不是不想回地球，是有偶像包袱了。,banfo,金句语录,激昂,c5ae4735b6171d4a119a179a6755cdbb,9.0,待处理,极致夸张 + 神话解构,逻辑
用它来和面，小牛犊子都得来这儿认养一头牛，蒸面的那一瞬间，嫦娥都想重返地球。,banfo,金句语录,激昂,a0dc763e9f3d11cb59df4732e9a539f7,8.0,待处理,拟人化 + 神话解构,逻辑
椰浆这玩意儿是直接把椰子里的果肉不加水或少加水榨汁，就这玩意的脂肪含量，猪都发现自己离它还有很大差距。,banfo,金句语录,激昂,25d2e882baaa0f79a0a17be6843cd7d5,8.0,待处理,拟人化 + 制造反差,对比
这俩现在和面和在一起，动物和植物中最香的油脂就伺候你自己，这哪里是什么中秋快乐，这是嗨皮牛椰。,banfo,金句语录,激昂,7714e026cc560fb5318c39672a874c49,7.0,待处理,谐音梗 + 感官描写,逻辑
你认识的这点小动物，基本上全在里面了，这不是月饼盒，是动物世界。人们在桌上团圆，动物们也在桌上团圆。咱们皆大欢喜。,banfo,金句语录,激昂,abfe599e22a639bb619e53f08903a174,8.0,待处理,拟人化 + 黑色幽默,逻辑
就这个成分表，黄油加椰浆，别说做月饼，就是炖我六舅都香；稀奶油和鸡蛋，给个神仙都不换。,banfo,金句语录,激昂,c50922bbf247ea0ee6ec2ab507344fe8,8.0,待处理,极致夸张 + 制造反差,对比
