内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
他用17年，整了个大活,banfo,开头金句,激昂,303586bdc30bf69ba76695f66c6f04fd,7.0,待处理,悬念设置,逻辑
从2007年到2023年，他已经连续17年发布了社会责任报告。在他开始带头给行业搞可持续发展的时候，大部分同行别说跟风了，连ESG是什么都还不知道。,banfo,正文段落,积极,18ffe1c11f53db7eae8b980953aa8ec3,7.0,待处理,先发优势 + 对比反差,对比
17年是什么概念呢？坦率地说，很多企业甚至都活不到这个岁数。一件事情做一年两年，可以说是作秀。五年十年，可能咬着牙也就过去了。但17年实在是太漫长了，在这段足够一个新生儿成长到去参加高考的岁月里，所有不切实际的热血和冲动都会被冷却。能够坚持下来，只有一个可能：他在经过冷静的思考、权衡和决策后，依然认可这件事情值得做。,banfo,正文段落,激昂,8f293c74be0b1adc1b204b0bf2b11bbd,9.0,待处理,时间对比 + 排除法论证,对比
企业的价值观是树的根，平时看不见摸不着，但一旦烂了，再高的参天大树也会在某个时刻轰然倒塌。,banfo,金句语录,消极,c7b22fac820eeb9fe7720e96e1a48010,9.0,待处理,比喻论证,逻辑
从这个角度看，把社会责任当成说出去好听的口号，天天挂在嘴边，其实只有小聪明。反而是不重视这东西。真正重视的公司，会把它当成对自身的要求。默默做，认真做。不求回报，但回报自生。,banfo,正文段落,积极,d23bfc9c99859636b32f022e920d1cc0,8.0,待处理,对比反差 + 价值升华,对比
为什么很多企业一讲环保就被人诟病？不是因为大家反感环保，而是因为他们不愿意承担代价。成本是用户出的，价格是产品加的，名声是企业得的，不骂才怪。,banfo,正文段落,消极,a2d3916ee911b26b1737daea934c54c6,8.0,待处理,归因分析 + 共情共鸣,"逻辑,共情"
某种意义上，不被发现的环保，才是最好的环保。因为等你注意到它的时候，就已经见证了被它改变的一切。,banfo,金句语录,积极,34880bccb69b53eb744d8fcba4df6741,9.0,待处理,观点反转 + 诗意表达,逻辑
但内蒙古阿拉善的十万棵梭梭树知道；云南热带雨林那150亩“亚洲象食堂”里的大象们知道；松嫩平原4050亩湿地上高飞的水鸟们也知道。,banfo,正文段落,积极,4e30f1a49e2fa3b888d7cac3f95643c1,8.0,待处理,具象化 + 情感共鸣,"共情,煽情"
《诗经》里说，“靡不有初，鲜克有终”。很多事情不是说有好的初心，最后就一定有好的结果。有想法，和能落地之间，隔了很多困难。有始有终是这个世界上最难的事情。,banfo,正文段落,中性,e0763ddeff31dbcf406396a729b45cfa,7.0,待处理,引用经典 + 观点阐述,逻辑
因为夸张的宣传会给社会造成错误预期，大家都以为你会投入巨大的成本，你自己也是这么吹的，结果别人all in了，你撤了。像极了玩儿MOBA游戏的时候，队友还没准备好，你就去开团，然后队友跟上来，你又卖队友。还不如不开呢。,banfo,正文段落,消极,1e3df82f6afa666cf08ed5d457fb8a7d,7.0,待处理,类比论证 + 制造共鸣,共情
