内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
他最近发财报了，总结一下就是，赚了很多。全年交付37.6万台车，营收1238.5亿。净利润118亿，现金储备超过了1000亿。有钱有钱有钱有钱有钱。,banfo,开头金句,激昂,c76bb00415005f997de687bf6bc1ada3,7.0,待处理,数据冲击 + 情绪渲染,数据流
虚假的高端车企，走着走着品牌没了。真正的高端车企，均价接近40万的SUV，一年能卖出去小四十万台。,banfo,金句语录,激昂,5340908910c2bbcd8a563dd1836a6d9b,8.0,待处理,对比反差,对比
考虑到均价，他这个数字是非常逆天的。对比一下，宝马去年才卖了82万台车，奔驰76，奥迪72。这还是把所有车型混在一起算的。在细分领域（大型SUV），他的数据已经能和BBA打的有来有回，甚至略占上风。,banfo,正文段落,激昂,bb2b1fe9b96bb1055010d5892f2cf88c,7.0,待处理,数据对比 + 建立权威,"对比,数据流"
讲真他卖到这个数字，已经不能简单用性价比来解释了。毕竟是一台小40万的车，就算再有性价比，它基本售价在那摆着呢。,banfo,正文段落,中性,a1599bdd4936cc7c6ca5b12023c90a6c,6.0,待处理,否定常规解释 + 引出新观点,逻辑
他对标BBA好几年，终于掌握了BBA的精髓：“给客户提供情绪价值。”翻译成人话就是，开这个车能装。,banfo,金句语录,激昂,8238d32c4512dfbf9afe7ee503fbdc21,9.0,待处理,洞察提炼 + 通俗化表达,逻辑
不仅如此，他还青出于蓝而胜于蓝，找到了一条和BBA完全不同的装的道路。如果说BBA的装，还停留在身份、地位和有钱这种维度。那他的装已经回归到了人类基因生存的本质：“我家人生活在一起”“我孩子多”。,banfo,正文段落,激昂,90ba71317ecceca0e8f054f4bfcfbcab,9.0,待处理,对比升华 + 触及本质,对比
别笑，我知道这很魔幻，但你再品味下上面那两句话。然后感受一下。,banfo,正文段落,中性,e515ced2618aeeb3a21e121bcc30fcf9,5.0,待处理,与读者互动 + 引导思考,逻辑
讲道理，装x的本质是啥？是走与众不同的路。大家都装的话，就相当于大家都没装。都一样，这钱不就白花了么？,banfo,金句语录,激昂,52bcf24b6a103165d507f6feedddaac3,8.0,待处理,本质剖析 + 反问强调,逻辑
在大家社会地位差不多，钱也差不多的时候，比什么？不拼别的，拼家人团聚，拼后代多少。,banfo,金句语录,激昂,8a5cde2120877925d53f9766e8bc1b5e,8.0,待处理,提出新赛道,逻辑
现在有仨孩子，说明夫妻双方身体健康。健康能用钱衡量吗？能生三个孩子，说明现金流稳定，敢养。还说明居住地址固定，有自己的房产，房间不小，还得是个学区房。最重要的，说明生活稳定，有足够多的时间照顾孩子。,banfo,正文段落,积极,1ce667dd94d7e4325db980c5bc4fef33,8.0,待处理,层层递进 + 逻辑推导,逻辑
