内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
这次，他真的动脑子了。,banfo,开头金句,激昂,139900c8b4533bf802e3aa10198a4ca3,7.0,待处理,悬念设置 + 价值肯定,逻辑
感谢大家一直以来的阅读、在看和转发，由于规则变动，之后所有的抽奖都放置在后台，大家可在公众号页面发送相关暗号关键词获取抽奖，每一篇文章会给到一个不同的暗号，对应的抽奖都是独立的，此篇暗号为【哥】，在后台回复【哥】，即可点击进去参与抽奖！抽奖内容、金额、个数等都无变化，在开奖前参与抽奖，操作均有效。,banfo,正文段落,中性,ccb2c6acd4e9671e7e08c64c1cbb305a,5.0,待处理,解释说明 + 行动指令,逻辑
注意，后台（不是评论区，是后台）回复【哥】即可参与抽奖。,banfo,正文段落,中性,44791b4018d57e5a2387adb91b38fd31,4.0,待处理,强调重复,逻辑
这是他的第1402篇原创,banfo,开头金句,中性,3662f2f2c4a699a30888156cee064ee5,3.0,待处理,建立权威,逻辑
他老婆教了他一个词，叫小孩哥。简单来说，就是小孩过于聪明，以至于你想叫他一声哥。,banfo,开头金句,激昂,6bfd1cc9ad705c8f659073ef019c15e8,7.0,待处理,引入概念+反差对比,对比
他三岁时能把圆周率背到小数后十位，人称小诸葛。不仅文化厉害，武力也厉害，一次吃一整袋速冻水饺，震惊整个街道，号称小猪哥。,banfo,正文段落,积极,47e35b54e4d2c66407b4777efa8ece9b,6.0,待处理,先扬后抑+幽默自夸,逻辑
你说他们得聪明到什么程度，才当得上他一声哥？,banfo,正文段落,激昂,1015d89d8add9a2b8b97616f72807295,6.0,待处理,设问引发好奇,逻辑
一个两岁的小孩，能灵活拆卸医用心脏模型，并指出对应的生理结构及功能。大小便都没完全掌控住的年纪，先掌控住了医学。,banfo,正文段落,激昂,ee0c37ffe1fec58040962932d3dca6ae,8.0,待处理,具体案例+反差对比,对比
再大一点，四五岁的小孩，已经能用流利的英语带他编程入门了。当小孩说出algorithm这个词的那一刻，他已经汗流浃背了。,banfo,正文段落,激昂,fd6e3cc178e916aa9492410aaf4908af,8.0,待处理,具体案例+情绪渲染,逻辑
“上有老下有小”六个字，居然让他感受到了蟒蛇缠绕般的窒息感。,banfo,金句语录,消极,72b53f6c42929cf5baf6c934b851ece5,9.0,待处理,比喻+情感共鸣,"共情,煽情"
啊，怎么这么卷？这一手，就够他再学十年。,banfo,正文段落,激昂,8ff0cdd93ca95c1caefc3b576d0a82d2,7.0,待处理,情绪宣泄+夸张对比,对比
看完视频，嫉妒让他面目狰狞。,banfo,正文段落,消极,007224b8fbf4ed60816df05322caf61a,7.0,待处理,情绪描写,逻辑
或许有个别人如此，但论平均水平，还是现在孩子更聪明一些。这其实不奇怪，以现在孩子的营养水平，他们做出这些操作都很正常，这只是营养摄入充足，发育良好的孩子们的基本操作而已。,banfo,正文段落,中性,14f6e0a1f4a802a47fd4b15fa30a6bbd,6.0,待处理,观点陈述+归因分析,逻辑
与其说震惊于孩子的智力水平，他们背后的营养学彩蛋反而更值得研究一些。,banfo,正文段落,中性,f7db1c7d2efb016e86625915a006283d,7.0,待处理,转折引出主题,逻辑
孩子发育良好，人类卷了近百年的奶粉行业功不可没。,banfo,正文段落,积极,dc4a327d858f34fcfa946df0865cef4b,6.0,待处理,观点陈述,逻辑
你舀的每一勺，都是营养学三十年的功力。,banfo,金句语录,积极,726d8c6dba3246a115d84f2c2bf060a8,9.0,待处理,比喻+价值升华,逻辑
要高质量育儿，要营养，最重要也是最首要的方向，是大脑。,banfo,正文段落,中性,34ee7713666b1db72e6bd91d6405ea01,6.0,待处理,观点陈述,逻辑
营养学里有个概念，叫做生命早期1000天。意思是孩子三岁以前，脑细胞在快速分裂，每秒都在创建上千个链接，诞生大量神经元，可以说，80%的大脑发育就在这一阶段完成，所以这个时期也被称为大脑发育关键期。,banfo,正文段落,中性,9562f1bb23b3feb92af60d7f5f26c4a4,7.0,待处理,科普概念+数据支撑,数据流
孩子的学习能力、认知水平、反应速度，都与大脑发育关键期内的营养摄入息息相关，成年后身体器官的代谢能力，机体免疫力，预防慢性疾病的能力，都取决于这段时期打下的基础。,banfo,正文段落,中性,5a25a6f51c1ec059b4f9f8c907412d90,7.0,待处理,因果关联+长远影响,逻辑
但营养不是乱来，不是盲目的火力覆盖，营养学不讲究力大飞转，盲目造成营养赘余，也在增加婴儿成年后罹患高血脂、糖尿病等相关风险。,banfo,正文段落,中性,f9183d86226f6b59b1f79874e2d65021,7.0,待处理,纠正误区+风险警示,逻辑
这就要求奶粉营养成分配比精准，营养均衡，不能不来更不能乱来。,banfo,正文段落,中性,b0f5a861b9aeacc08caaa4647c2716a5,6.0,待处理,提出要求,逻辑
粗暴点说，大脑神经这张网，就靠脑磷脂链接。,banfo,金句语录,中性,cd8e02d3e0f7b9c4da990c5b1f507329,7.0,待处理,比喻总结,逻辑
所以这款奶粉含有的五大脑磷脂，就是为了不给孩子拖后腿。,banfo,正文段落,积极,462a8fdfc9bfe8856c7f2baef88c629d,6.0,待处理,功能解释+情感关联,煽情
不是什么东西都是越多越好的。DHA一过量，反而会影响ARA吸收效果。,banfo,正文段落,中性,42aa41ffd41c0afc1965ee337be5e0c8,7.0,待处理,纠正误区+科学解释,逻辑
这些成分一环扣一环，一套练一套，加满红蓝BUFF，又来了一个回血小妙招。,banfo,金句语录,积极,647d510a240aec704b35a42b3aeec2f1,8.0,待处理,比喻+游戏化语言,逻辑
就这个奶粉，他都想来一勺。,banfo,正文段落,积极,4bb321f7c42200c8cc49b544d541aa10,7.0,待处理,幽默自嘲+产品认可,逻辑
走出这一步，太艰辛，太难与人言。,banfo,正文段落,消极,037ed317749a0b24486b518ad9e8a21f,7.0,待处理,情感共鸣,"共情,煽情"
添加这些成分，从工艺上进行革新，要花成本，很难。知道为何要添加这些成分，探索这些成分的比例，不断精进出适合中国宝宝的配方，更难。,banfo,正文段落,中性,61acf14ea56effe256c6d9d2d4fdc409,6.0,待处理,递进强调困难,逻辑
这背后是海量的数据，需要花的不仅仅是成本，更是时间。,banfo,正文段落,中性,c0b9fb16a03ea036aab441790bc3fdf0,6.0,待处理,价值强调,逻辑
孩子人在襁褓内喝奶，智力已经跟着品牌漂洋过海。,banfo,金句语录,积极,be92c1ad15da1b30c7583b336b22cba6,8.0,待处理,生动比喻+价值升华,逻辑
这个品牌赢了一场又一场奶粉战争，带来一个又一个新锐产品，不是搞噱头，而是拿科研发力，获得高知父母们信赖的结果。,banfo,正文段落,积极,aa6e358bfe9de11aba5129a0398a56a6,7.0,待处理,成果总结+原因分析,逻辑
成分过硬，品牌过硬，父母放心，孩子聪明。,banfo,金句语录,积极,16ef052909f799e665408ba3b00c3f52,8.0,待处理,排比总结,逻辑
小孩哥中的这个哥字，要分这个品牌一半。,banfo,金句语录,积极,32de905a6bf2228338221a389901b14f,9.0,待处理,幽默总结+价值归属,逻辑
难以猜测下一个风口，但营养学日新月异飞速发展的时代，我们的孩子一定会生出更聪明的孩子，比起童年，我们的孩子可能都比不了。但这样，最好。,banfo,正文段落,积极,3852cc6e9d26cbfd413f6f78cc3720bb,8.0,待处理,展望未来+积极心态,逻辑
希望全天下的孩子，都茁壮成长。这是父母们，最朴素的愿望。,banfo,行动号召,积极,11ca967692010b0cdce70c23b2aabb69,9.0,待处理,情感升华+普世价值,煽情
多少人穿lululemon，是被逼的,banfo,开头金句,激昂,4f53c8d7abc842d898fcc8712e5a69df,9.0,待处理,制造悬念 + 反常识提问,逻辑
我最近开始穿lululemon了。不是我买的，是家人给我买的。一开始我是排斥的，毕竟这个品牌在我印象里还是一个主打瑜伽裤瑜伽服的女性牌子，我这么一钢铁直男突然就穿上了，有点不太习惯。到现在，我已经开始喜欢上了。,banfo,正文段落,中性,589125978ed2b59705b933c8c88242d9,7.0,待处理,先抑后扬 + 身份反差,对比
我最近穿lululemon的原因是，没人知道我穿了lululemon，都以为是外贸大码男装。真就是没人知道我穿的是这个，也没人会用一个破衣服看我，所以我觉得特别自在。,banfo,正文段落,积极,54a4a3874b45d3f1d21eb4740e50be64,8.0,待处理,揭示核心痛点 + 情感共鸣,"共情,煽情"
基础款，舒服，同时没人会对你的衣服指手画脚。,banfo,金句语录,积极,3b047dad4dafdcc00a604364263c6308,8.0,待处理,简洁总结,逻辑
人到中年，难免会比来比去。房子车子票子孩子，挺烦的，但逃不过。大家嘴上都说不比了，但心里算盘都打出火花了。,banfo,正文段落,消极,f55f7c3310278c08220a046d2492f674,9.0,待处理,制造焦虑 + 群体共鸣,"焦虑,共情"
如果衣服带logo，不管是哪个牌子，都有点标签的作用。同样一个场合，穿不同牌子的，确实是给人的感觉不太一样。你自己可以无所谓，但很多时候别人的眼光和玩味的表情让你觉得难受。,banfo,正文段落,消极,1c5f00b58553337568b1c9b2d6aead11,8.0,待处理,列举对比 + 揭示社交压力,对比
现实中，我去和朋友吃饭，我都得提前知道对方是什么属性，然后选衣服logo。,banfo,正文段落,消极,7556555ed76887fa5adc6bdd071c2c3e,7.0,待处理,具体场景 + 行为刻画,逻辑
我年纪越大，越会挑一些小众不为人知的牌子，但问题就是，甭管是大众还是小众，品牌方都有可能会犯蠢，说了一些不合时宜的话。当我看到这些新闻的时候，已经买了这个牌子，就没法穿出去了，因为大家很可能会对我指指点点。,banfo,正文段落,消极,7628c67789bb3ad6591daf84efd2262c,8.0,待处理,递进困境 + 风险规避,逻辑
