内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
电纸书，天克小学生,banfo,开头金句,激昂,d0aef94d1e467f9151beb97e57cb2e85,8.0,待处理,制造冲突 + 悬念,逻辑
我知道这个标题很离谱，但文章更是一点都不正常。,banfo,开头金句,激昂,5268c59e788c8c9506f9ad9c9a2598a2,7.0,待处理,自嘲 + 预期管理,逻辑
小学生的一生之敌，就是电纸书。,banfo,正文段落,激昂,6673c4cd538d0adbe8dce94c575b5834,7.0,待处理,夸张比喻,逻辑
原本是要给孩子买平板的，但这东西比平板强太多了，简直是天克小学生。,banfo,正文段落,激昂,662243622367f540d3b2a2871821c60c,7.0,待处理,对比 + 结论前置,对比
她研究了不少电脑，什么家长模式都没用，孩子有一万种方法绕开家长的控制打开游戏和短视频。,banfo,正文段落,消极,2939dd8db6de801f1d2481a3152ca8fa,8.0,待处理,制造焦虑 + 列举痛点,焦虑
这就导致，买平板给孩子学习，最终只会培养孩子的游戏兴趣。,banfo,正文段落,消极,5666329c8c8b66d6a54bb74c37e8b954,7.0,待处理,因果论证 + 负面结果,逻辑
但现在，电纸书从根源上解决了这个问题。,banfo,正文段落,积极,90eaba57f310beb4844ef1dc404f8510,7.0,待处理,转折 + 提出解决方案,逻辑
这东西的屏幕因为是低刷电子墨水屏，会让一切游戏和视频，都根本玩不起来。,banfo,正文段落,积极,57b1c26ad0889c50aeb009bf57c73e5f,7.0,待处理,原理阐述 + 功能优势,逻辑
帧率极低的墨水屏，就和三体人飞不出银河系，孙悟空飞不出手掌心是一样的。,banfo,金句语录,激昂,4337ffd5529d7e2be40fe20fb190c236,9.0,待处理,类比 + 文化梗,逻辑
不信你拿电纸书刷一下短视频试试，五分钟保证你眼睛都受不了，看谁都像卓别林。,banfo,正文段落,激昂,328aec2cc8f78d7478d983a056476694,8.0,待处理,场景化体验 + 幽默夸张,逻辑
远看黑白是水墨，近看是游戏的泥潭。,banfo,金句语录,激昂,998824239d429529e08aacc857c2a2f6,8.0,待处理,对比 + 意象化描述,对比
简直是天生的游戏克星。,banfo,正文段落,激昂,50adee93589114ad4843fd2c3b920c44,7.0,待处理,总结 + 拟人化,逻辑
关键是，这东西最适合的场景，是，试卷。,banfo,正文段落,积极,51d2702c546391d4351b1e8052b6f271,7.0,待处理,转折 + 核心卖点,逻辑
这黑白分明的屏幕对我来说是迟来的保护。但对眼睛还不近视的小学生来说刚刚好。,banfo,正文段落,积极,dd9341adcf29517e782cea82ce1f6508,7.0,待处理,对比 + 情感共鸣,"共情,对比,煽情"
这低速的刷新率玩游戏是原地爆炸，但拿来刷题看书已经是性能过剩了,banfo,正文段落,积极,15116e7e122508b35dc79c559dfd0363,7.0,待处理,对比 + 功能定位,对比
按照我小学写作业的速度。它每秒1帧都算是高刷了。,banfo,金句语录,激昂,98e65c7d19f805b51b6b2d8ce9acab4c,8.0,待处理,幽默自嘲 + 夸张,逻辑
就算孩子带着它流落荒岛，做题能做到救援队找到他。,banfo,金句语录,激昂,d6cd8b7953ccf154327e248cc868f8e3,8.0,待处理,极端场景 + 幽默夸张,逻辑
之前上小学不是总骗父母说作业丢了么？现在好了，直接云上共享。,banfo,正文段落,激昂,f0727a2b7eba36831dfe8d0d17c9e257,7.0,待处理,痛点共鸣 + 解决方案,共情
把电纸书丢了都不怕，我再买一个新的，直接把没写完的作业给你续上。,banfo,正文段落,激昂,3da5b4b31c0a56dd960760f766543384,7.0,待处理,幽默威胁 + 功能延伸,逻辑
让孩子从小就感受一下科技的力量。,banfo,正文段落,积极,6cb492996f51ee947ba38c5fa8f4f276,6.0,待处理,升华价值,逻辑
什么三体？在孩子那里都不再是科幻片，而是纪录片。,banfo,金句语录,激昂,bae0479478e2939cda31fa781aa503c2,9.0,待处理,文化梗 + 幽默反转,逻辑
你给孩子买平板学习，相当于让汤姆杰瑞去麦当劳的仓库当保安。他们不是肯德基派出去的才怪。,banfo,金句语录,激昂,e0e7ee9926791cb43c0d01b97dff8bef,9.0,待处理,类比 + 幽默讽刺,毒舌
但是电纸书，根本不怕你搬。你随便下游戏，能玩得动算我输。,banfo,正文段落,激昂,27fc4ac3d6cdf475d02a01fc6dcc6e58,8.0,待处理,自信断言 + 挑战语气,逻辑
如果这种画面下都能玩得下去，只能说孩子对游戏是真爱。下一个电竞之王，就是他。,banfo,正文段落,激昂,412b36c8175fd7e1e126ce821e93ae22,8.0,待处理,幽默反转 + 另类夸奖,逻辑
听到了她的话，我从一脸不解，到恍然大悟，再到兴奋不已。,banfo,正文段落,激昂,0c21220de9cd246694e84e2441a9f7da,7.0,待处理,情绪递进 + 故事转折,逻辑
妙啊。是时候，写下来让更多家长看到了。,banfo,正文段落,激昂,102b38d8f3e2bc3dcfae8e1858e07c0b,7.0,待处理,情感高潮 + 行动号召,煽情
买什么平板？给孩子买电纸书啊！,banfo,行动号召,激昂,8e4405fffc33da089c5f7d9211892c66,8.0,待处理,反问 + 直接建议,逻辑
我知道这文章那个小兔崽子也能看到，他肯定恨得牙痒痒。,banfo,正文段落,激昂,0fde5f0efda3220e62540a518a159459,7.0,待处理,与读者互动 + 幽默威胁,逻辑
上次他把我的限定手办摔碎的时候就应该知道天道好轮回。,banfo,正文段落,激昂,c636d867f3220a466ab0884b18e10c25,7.0,待处理,个人故事 + 因果报应,逻辑
我是不能收拾他，但我能让他静下心好好读书。,banfo,正文段落,积极,633c400bc439451373eb59938d69a63f,7.0,待处理,无奈 + 智慧反击,逻辑
愿每一个孩子今年的生日礼物都是一本电纸书。这是我的爱，不用谢。,banfo,行动号召,积极,bee3d050d03861200ab3957d0d55ea04,7.0,待处理,美好祝愿 + 幽默自恋,逻辑
每个车企都在讲自动驾驶，天天整各种活，说什么自动驾驶是未来。但目前看来，只有比亚迪和特斯拉真的在赌自动驾驶，真的相信自动驾驶是未来。,banfo,开头金句,激昂,e332a2cf8254c29ee75e5112507e536f,7.0,待处理,制造悬念 + 观点对立,逻辑
我分享一个基础思维方式，这三十多年帮我在关键做决策的时候利益最大化了无数次。很简单，看任何事情的本质，只看两件事：谁获得了好处，谁承担了代价。以及，你的屁股在哪里，你应该看谁的利益。,banfo,正文段落,中性,01754b0160131dd653b1220b7f6d23cf,8.0,待处理,方法论提炼,逻辑
自动驾驶目前最大的问题是，不出事儿都好说，万一出事儿了，谁负责？我们作为消费者，谁为我们提供保障？这是自动驾驶的元问题，这个问题不解决，不去面对，谁谈自动驾驶都是骗子。,banfo,正文段落,激昂,841a470c992a09cc38dfd7cc2347d4b5,8.0,待处理,直击痛点 + 制造焦虑,焦虑
再牛的自动驾驶，再无限像人甚至超越人的自动驾驶，都一定会出车祸，就是三体人来开车，也一定会出车祸，车祸是必然发生的事情。,banfo,金句语录,激昂,b05f793a0fed6d2551ac4c57225864d1,7.0,待处理,极端假设 + 强化观点,逻辑
所以要考虑的根本不是会不会出车祸，而是出车祸了，怎么分锅。,banfo,金句语录,中性,8905ad23db359e625098bc3037062551,7.0,待处理,问题转移,逻辑
发现了么，这件事情里，厂商获取了利益（用户数据+用户多花了钱），但在承担后果的时候，隐身了。这就是，自动驾驶的元问题。,banfo,正文段落,消极,1f96b740c2bc1fa945b4e32bffe57657,8.0,待处理,利益分析 + 揭示矛盾,逻辑
厂商不敢为自己的自动驾驶赔钱的时候，一切都是虚的。,banfo,金句语录,消极,75666c6091fefbea79bc04e397823fae,8.0,待处理,观点总结,逻辑
不管技术进步到什么地步都不可能100%不出事故，而只要有0.001%的事故率，就一定要有人出来背锅。你不背我不背，自动驾驶的灵堂就在天上飞。,banfo,金句语录,激昂,516b6aec00c4a9a08945a4c74d06a4a3,9.0,待处理,量化风险 + 形象比喻,逻辑
为什么无人出租车现在看起来很可以？因为无人出租车解决了这个问题，出了事情就是出租车公司的责任非常清晰。为什么飞机高铁也是自动驾驶，但就是可以？因为他们也解决了这个问题，出了事情就是公司赔钱，责任非常清晰。,banfo,正文段落,中性,8692b55e7b81b26d0d7b973d1f43e30f,7.0,待处理,类比论证,逻辑
