内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
东方甄选，真正的赌徒,banfo,开头金句,激昂,143e112fe4dcaab582ea23b66bc1bd18,8.0,待处理,颠覆认知 + 制造悬念,逻辑
熬死对手，忍耐等待的做法，不是不行，但那是我之前的做派。现在不会了。,banfo,开头金句,激昂,1f23bb5ea0600a80bccdf71fd4a88ba3,7.0,待处理,否定过去 + 强烈转折,逻辑
记住，死过一次了。,banfo,正文段落,激昂,2edd6f1cafe9bca684df08c721d7e75e,8.0,待处理,重复强调 + 制造悬念,逻辑
既然给了活下来的机会，那就只能死在向前的路上。,banfo,金句语录,激昂,a1b4e6f0078a892bc2d2b8b55dd25997,9.0,待处理,绝境逢生 + 破釜沉舟,逻辑
所有人都劝我，平台不好搞。单飞了容易被人抢生态位，别回头发现这口锅都没了。,banfo,正文段落,消极,07820546b3a74b4353af612fdb9f3efd,6.0,待处理,制造对立 + 外部压力,逻辑
但我是活了两次啊。你或许比我懂怎么活，但我比你懂怎么死。,banfo,金句语录,激昂,5bf069416f70d58e147adce7a708761d,9.0,待处理,独特经历 + 认知优势,逻辑
直播间，怎么能留住我的野心？我过去是行业一哥，今天怎么可能还只做一个二流直播间。,banfo,正文段落,激昂,f633d0e6054a5f3f11cae9c6b232a74a,7.0,待处理,自我质问 + 身份落差,逻辑
真正绝望过的人，只要稍微给点希望和甜头，就愿意赌上所有。,banfo,金句语录,激昂,fd41208ca221a61ad4aa5c59c6108a58,9.0,待处理,心理洞察 + 极端行为,逻辑
不怕了，不会患得患失了。也怕了，怕不会再给机会了。,banfo,正文段落,激昂,2fa2f29efeac28988a7cee4c6074b6d6,8.0,待处理,矛盾心理 + 递进转折,逻辑
所以，要赌。这是算计吗？不，这是魄力，是疯狂，是赌。是把命拿出来，搏最后一次。,banfo,行动号召,激昂,85d48436a650aab167e4209a08f1ca86,8.0,待处理,升华主题 + 终极宣告,逻辑
这是一个神奇的人，你完全猜不出他会写出什么，他自己也不知道。,banfo,开头金句,积极,51b7e999e0fabd8ae228b61d7c6c1141,6.0,待处理,神秘感塑造 + 预期管理,逻辑
点击关注下方账号，你将感受到一个朋克的灵魂，且每篇文章都有惊喜。,banfo,行动号召,积极,206db080221d94b15660a5fc4741cead,5.0,待处理,价值承诺 + 情感吸引,煽情
到底是以自己APP为主，还是以平台直播间为主，对他来说来说是到了一个要做决策的时候了。,banfo,正文段落,中性,97deeacfb8c313d15a3c283f6f577d04,6.0,待处理,制造悬念 + 关键抉择,逻辑
反正我是平台的话，我也不会给任何甲方或者乙方一个成为我对手的机会，那我就不用混了。,banfo,金句语录,激昂,c962c34171c235f37d8a4cc90ef226c4,7.0,待处理,换位思考 + 利益冲突,逻辑
流水的网红，铁打的平台，这就是宿命。,banfo,金句语录,消极,2ce15adad0c4be7e89281cc6f6f5858b,9.0,待处理,对比 + 结论,对比
在平台薅流量，不爽吗？,banfo,正文段落,激昂,aa87e017b4dfa606b90f3066f99d7732,7.0,待处理,反问 + 制造安逸感,逻辑
离开平台做品牌的，有活的好的，因为还是平台的甲方，大家不是对手。离开平台出来做新平台的，没有活的好的，因为和平台成了对手。,banfo,正文段落,中性,daa7559b09527e36bb44157b2dd89a5a,8.0,待处理,对比分析 + 核心洞察,"逻辑,对比"
用户根本不是喜欢自己，而是喜欢在微信平台能看到自己。,banfo,金句语录,消极,895b11da8ab7922cbe2ede37198c222f,8.0,待处理,破除幻觉 + 揭示本质,逻辑
要是平台容易做，这么多年也不会只有一个拼多多杀出来。而拼多多杀出来，也是极小概率事件，拼多多之后所有学拼多多的，全都死无葬身之地。,banfo,正文段落,消极,8c3ffbd29e40d21dc9c35b0cd8663c1b,7.0,待处理,举例论证 + 强调难度,逻辑
一个人气兴旺的直播间，和一个人气兴旺的电商平台，估值更是一个天上一个地下。,banfo,正文段落,中性,7ca0619430a4d8f2fc07fc1ea18b2c69,7.0,待处理,对比 + 价值差异,对比
但你要是能做成一个平台，一个承载各类主播的平台，那想象力可就起飞了。,banfo,正文段落,积极,c5360357566a38397325a00a84f1748a,7.0,待处理,描绘愿景 + 激发欲望,逻辑
