内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
龙年整活还得是他,banfo,开头金句,激昂,e824854585d77bb465591ebcff48221e,7.0,待处理,谐音双关 + 文化符号绑定,逻辑
我本来觉得我就够卷了，直到我看到了他。这是要卷成龙卷风吗？,banfo,开头金句,激昂,d1d6bf19288b8919c5ea8699c4ae65a2,7.0,待处理,对比反差 + 幽默比喻,对比
上一瞬间还在地方台晚会上打拳，下一瞬间又成为了手机的代言人，同时还监制了新电影，真正做到了行运一条龙。,banfo,正文段落,激昂,717703dfd1c04659b8a184d3e1e12b83,6.0,待处理,排比列举 + 强化印象,逻辑
就这个拼劲儿我都怀疑他是不是觉醒系统了，发现世界其实是一个巨大的家具城。,banfo,正文段落,激昂,0be87e340b95aa8b8aefff48e51b0c63,8.0,待处理,网络梗融入 + 幽默解构,逻辑
咱们龙的传人每到龙年就会自动激活本命武魂，理发为了龙抬头，吃饺子为了咬龙耳，生宝宝都要生龙宝宝，过年尤其是过龙年要是见不到他，就约等于北方过年少了饺子，南方少了汤圆。,banfo,正文段落,积极,c3a4e6de69bdb75803e94fa511166395,7.0,待处理,文化共鸣 + 类比强调,共情
或者虽然有，但是是草莓馅儿的，外表是正七边形。,banfo,正文段落,激昂,4dc05d22da60f19ccd71ac0e4eb143e9,6.0,待处理,荒诞比喻 + 强化荒谬感,逻辑
他已经成为了一个代表着与时俱进，锐意进取，敢打敢拼等符号，所以龙年见他，再合适不过。,banfo,正文段落,积极,9cc91a99ccb7d6378e829d3abbf2669a,7.0,待处理,符号化总结 + 价值绑定,逻辑
他，适合东方宝宝体质的家人侠。,banfo,金句语录,激昂,de8dd013b01f69f2b41b829e4a73bba0,9.0,待处理,流行梗改编 + 精准定位,逻辑
他以前都是跳电梯的，现在学会了坐电梯。,banfo,正文段落,中性,20c7d6585aaa98a8bb0ab0de08ad0f3f,7.0,待处理,今昔对比 + 幽默反差,对比
他往沙发中一趴，戴着眼镜玩手机的样子，不像是一代巨星，更像是一个平常长辈，多躺一会儿，就要出呼噜声。,banfo,正文段落,积极,55e1d2f01397633c24538c4f4cc6319a,7.0,待处理,细节刻画 + 拉近距离,逻辑
少了许多硬桥硬马，多了岁月静好安静祥和，不变的是，一直出现在我们生活中。,banfo,正文段落,积极,1cef3ee1ebdefaf573e0f195b46d0c65,7.0,待处理,对比升华 + 情感锚定,"对比,煽情"
这场龙门宴，就卷出了龙卷风。,banfo,正文段落,激昂,7f8f5d6307e670a5499b8cbd2750ff71,6.0,待处理,比喻呼应 + 强化概念,逻辑
考虑到他一张嘴年味就出来了，听他唱一宿，我都倒欠五盘饺子。,banfo,正文段落,激昂,39f025e70339d2729809ff4f330ba814,8.0,待处理,夸张幽默 + 情感量化,煽情
我生怕他一个连招就给所有人晃到，然后从楼梯间一个下滑夺路而逃。,banfo,正文段落,激昂,30b18c79fd5bce81bb5af54f5e342017,7.0,待处理,电影联想 + 场景化幽默,逻辑
年到底怎么就特殊了，为什么要过年？哪怕你是游子，外出多年，老家都变成你不认识的样子了，但乡土情怀早就通过乡音的方式凿进了你的DNA链里，当乡音被触发的那一刻，你的心中就凭空出现了一个油门，你只想踩到底，回家，我要回家。,banfo,正文段落,激昂,39018f1b6352807ce9f5c95e66565334,9.0,待处理,设问自答 + 生物学比喻 + 强烈情感驱动,煽情
所有能够给我回忆杀的年味瞬间在我身上疯狂combo，最后在一曲《真心英雄》中，彻底在我心上刷了通关。,banfo,正文段落,激昂,36c4f6ee33a9b4dd3a3d5dd4841c4a48,8.0,待处理,游戏术语比喻 + 情感高潮,煽情
这一顿饭，热热闹闹，阖家欢乐。开开心心的，又是一年。,banfo,正文段落,积极,604a419ef0adc86a500d450614a9daee,6.0,待处理,场景总结 + 情感收束,煽情
在过去的印象里，他是功夫巨星，好莱坞传奇，蜘蛛侠在沙漠中的宿敌，宜家的不败传说等等等等，一系列title吓死人，我关注他的时候都很小心，生怕我的关注列表被塞满。,banfo,正文段落,激昂,9d4f7a2abeeb4572cb1971768fc62874,7.0,待处理,夸张列举 + 幽默自嘲,逻辑
但在快手里，他就是个可爱的没架子的长辈，跟我们不定期分享起自己的遛狗打麻将炖梨汤的日常，只不过每款都是功夫限定版。,banfo,正文段落,积极,45d96c66475fdc9273872d4f576dd9d6,7.0,待处理,反差对比 + 趣味标签,对比
那个社区氛围好到他要是点赞没破百万，老铁们还会认真思考是哪儿出了问题。,banfo,正文段落,积极,8ce41df8e0e668c10850fc270c8754e4,6.0,待处理,夸张细节 + 烘托氛围,逻辑
过去我们要看他，要通过录像带，电影院和碟片，明星是高高在上触不可及的虚拟符号。如今有了快手，我们的距离无限缩短，他能以赛博家人的身份陪伴在我们身边。,banfo,正文段落,积极,05842c582516d0925efa8a1f875d3016,7.0,待处理,今昔对比 + 概念升级,对比
看着他的功夫片长大的人们，看着这个仿佛永远拥有无限活力的长辈聊起琐碎的生活趣事时，他所有积极乐观的情绪，就会透过屏幕传递给你，让你心底都欢喜。,banfo,正文段落,积极,4e086793c358bc9a1d51246dd656282c,8.0,待处理,代际共鸣 + 情感传递,"共情,煽情"
时代发展到今天，方向是更自在，更紧密。,banfo,正文段落,中性,47c87bd2d020c01da477b49e2ae8dc4c,6.0,待处理,观点总结,逻辑
快手这样的平台出现，打碎了戏内戏外的次元壁，无数像他一样的明星能被打破刻板印象，真正地出现在你生活中，跟你遥遥握手，成为你的赛博家人。,banfo,正文段落,积极,dc9400eafa5e02db526221498e95d427,7.0,待处理,平台价值阐述 + 未来感比喻,逻辑
比起当年他出道的时候，这个时代也给普通人更多机遇。,banfo,正文段落,积极,309e15f8f5df766b92de7b30276a7581,6.0,待处理,对比转折,对比
