内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
因为平台的再一次调整，不让直接在文章里放抽奖链接了。,banfo,开头金句,中性,4974f1cbd612339053544b64d1a8fa5b,5.0,待处理,陈述困境,逻辑
别问为啥，我只能说问平台去，问平台去，问平台去，问平台去，问平台去，问平台去，问平台去，问平台去，问平台去。,banfo,正文段落,激昂,5687a0e2fa4b9ac3d83acb88871ecab1,6.0,待处理,重复强调 + 转移矛盾,逻辑
这俩问题我只有一个答案，我也没辙，现在不仅你们麻烦，我也麻烦，我只能说问平台去，问平台去，问平台去，问平台去，问平台去，问平台去，问平台去，问平台去，问平台去。,banfo,正文段落,激昂,c2cf208e951b50c5cc8157f39f64a85b,6.0,待处理,共情 + 重复强调,共情
为什么不支持留邮箱发电子卡呢？因为太麻烦了，现在发快递我已经很烦了，如果还要我拿出时间统计邮箱给卡拍照刮开找密码，嫩死我算了。,banfo,正文段落,激昂,aa4dd1c82727221cf25b553ae44b82f9,7.0,待处理,自问自答 + 夸张表达,逻辑
而且，有些朋友有送礼需求，发实体卡可以兼容送礼和自用，收到快递的时候，能更好的感受我的心意。,banfo,正文段落,积极,c8dcc2adcfeb7047bb545d5ce1160de9,7.0,待处理,提供价值 + 情感连接,煽情
大家可能都不知道新的领奖流程，不清楚的朋友可以往下看，具体的操作流程放在下面了，非常简单。,banfo,正文段落,中性,25d3229cd02aa621df55e9a4c39cf33c,5.0,待处理,降低预期 + 引导阅读,逻辑
从开奖到最终收货大概需要8—12天不等，超过这个时间没有收到奖品的读者，可以后台回复“实体卡”或“奖品”，小助手会跟进奖品问题。,banfo,正文段落,中性,7c29c2016697ca082fb2f0e35ebf1e23,5.0,待处理,设定预期 + 提供解决方案,逻辑
当然，大家在参与过之后，也欢迎多多给文章本身三连啊~感谢支持。,banfo,行动号召,积极,0570929138797b21c0847659759aaa41,5.0,待处理,呼吁行动,逻辑
抽奖本身设置的是不允许分享，唯一的入口就是后台暗号回复，暗号在每篇文章的结尾。这是只给我们读者的专属感谢，非读者跟我们无关。,banfo,正文段落,积极,f38e3296386108cba456503749b93eab,7.0,待处理,制造稀缺感 + 圈定身份,逻辑
还没有关注另一个账号的朋友，也欢迎多多关注。,banfo,行动号召,积极,caa62af071081da32020af362a32403e,5.0,待处理,交叉引流,逻辑
是不是非常简单清晰了？,banfo,正文段落,积极,2debd7717dcc488ee2a04e205a7de41e,5.0,待处理,互动提问 + 强化认知,逻辑
