内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
在征服世界之前，先耐心探索。,banfo,开头金句,激昂,53614cebd73e556ecbb05119396eca62,9.0,待处理,先抑后扬,逻辑
就像是影片结尾的彩蛋，光怪陆离的景色倒叙回车窗里，探索完了世界，终于归来。,banfo,开头金句,中性,3d41cd05c751d571d138f5ab76694d3f,6.0,待处理,意象收束 + 情感升华,煽情
踏破铁鞋的事情，我来。感悟世界美的事情，你去。,banfo,金句语录,积极,4478f19c1713afb2039239d054b26ef8,8.0,待处理,对仗工整 + 价值分工,逻辑
重要的，就是念想。,banfo,金句语录,中性,4228ce18704b9cdf48e9fced89e7552d,7.0,待处理,核心观点提炼,逻辑
总有一天，我什么都不再在乎，我可以买上一张机票，去大草原，去真正的巴黎，去看极光。,banfo,正文段落,积极,4a1f6dbdad6197f75f4fdd471fd2b880,7.0,待处理,未来憧憬 + 制造对比,对比
但我知道，最焦虑的时刻，是由它陪我度过的。,banfo,正文段落,积极,633950d8d0f823d1c6e2858db90745fd,8.0,待处理,情感共鸣 + 品牌绑定,"共情,煽情"
人活着，不就是图一点念想吗。,banfo,金句语录,激昂,28f472b5cfeba532e2da1c8377d30c1f,9.0,待处理,灵魂拷问 + 情感共鸣,"共情,煽情"
小狐狸为了挖掘食物，一头跌进冰雪里。北极熊兄弟在冰天雪地互相依偎。火烈鸟成群迁徙，向水草丰美处进发。,banfo,正文段落,积极,ae4693d751e45b147a790ae756d2f245,7.0,待处理,意象罗列 + 生命力描绘,逻辑
这些无关紧要又充满生命力的画面，就是一家创业公司的志气。,banfo,正文段落,积极,e790e9a87d02680d22ce4f907d650902,8.0,待处理,以小见大 + 价值升华,逻辑
因为初生牛犊，因为乳虎啸谷，受了挫折，依然要前行，站起来，没什么大不了。,banfo,正文段落,激昂,91fecd46d888a843d78f9b0964205883,8.0,待处理,引用典故 + 精神宣言,逻辑
这是一种生命本源的浪漫主义。,banfo,金句语录,积极,6c1bfb6af4e955ce37fa5231f4a2c5eb,8.0,待处理,概念定义 + 价值拔高,逻辑
是全世界都公认的，消费者能够被感染到的魅力。,banfo,正文段落,积极,48b873a22741404010d7e8a4197b2f88,7.0,待处理,普遍认同 + 情感连接,煽情
技术上的实力，承认不足，慢慢追，慢慢超车。心气儿上，作为中国品牌，我们没输过。,banfo,正文段落,激昂,3b84a2443b3ced4eba34f3e7d63a9982,8.0,待处理,务实自省 + 精神自信,逻辑
我们为什么年轻？为什么我们会感受到浪漫？为什么很多事情看起来没有利益但还是要做？因为山海，就在那里。,banfo,金句语录,激昂,cfe2faacfb028748f3a9b9687ec95f4d,9.0,待处理,排比设问 + 经典引用升华,逻辑
开心，是心意在这里，收到礼物，自然开心；不开心，是有点遗憾，因为目前护肤品界，确实外国货更有面子一点。,banfo,正文段落,消极,56f259fece9301873f692832e0a08beb,7.0,待处理,情感共鸣 + 矛盾心理,"共情,煽情"
作为成熟的消费者，大家都知道外国大牌肯定有溢价，知道国产护肤品进步很大，如果都差不多，那当然愿意买国货。可不少国产品牌就是没志气啊，这钱我花了委屈啊，都喊国货崛起，你别真不努力了。,banfo,正文段落,消极,bbe8260d42f841ae3d21be2f3e67c722,7.0,待处理,制造焦虑 + 情感共鸣,"焦虑,共情,煽情"
我们想要的是什么？要的是你作为中国品牌，不只是在国内市场猛，更要胸怀大志，枪出如龙杀向世界；要的是全世界的消费者都看到中国品牌，让他们为我们拥有这样的顶尖品牌而艳羡；要的是你作为中国工业艺术品席卷世界，重新定义护肤方向。要让全世界都说中国护肤品NB。,banfo,正文段落,激昂,32256ee85cd4890d599af41f48175242,9.0,待处理,排比递进 + 宏大叙事,逻辑
可以说这个标准非常刁钻，非常严，很不近人情。但这，才浪漫。,banfo,金句语录,积极,67ffb8f27ee2d2a322838ee81683f82c,8.0,待处理,先抑后扬 + 情感升华,煽情
是，弯道超车说起来很爽，但科研领域从不讲爽文。,banfo,金句语录,中性,9b5a7bfbc76242151b7488cbbe45f311,8.0,待处理,对比反差 + 现实提醒,对比
论原料，论渠道，国际大牌已经筛选了百年，优中选优，围绕着安全性和有效性交了无数的学费，才摸索到了中间的平衡点，精进迭代出了相关工艺；论成分，论配方，大牌用几十年上百年进行研究，才丰富了相关理论体系，积累了百千项专利，最后才有几款看家专利成分。,banfo,正文段落,中性,0aed2ac491663b425b3b9edb5cc8b138,6.0,待处理,列举事实 + 建立壁垒,数据流
几十年，够我们吃透技术和知识，摸着石头过河，打造出今天的国货。但要登顶，还须努力，路才走了一半。要大胆，更要稳。,banfo,正文段落,中性,54dd1c26207e3df35423cdbfb2b29d0e,6.0,待处理,总结现状 + 提出要求,逻辑
一家成立了三年的创业公司，花一百万拍个态度短片，只为大家看完以后会更爱这个世界，这事儿真的太有态度了。,banfo,正文段落,积极,44d19fa3dafda63f551a9f836b12b291,7.0,待处理,故事引入 + 价值肯定,逻辑
你说你有理想？哪个老江湖生来没理想？还不是让市场的大逼兜教会了别乱想？这些务实的人，话很糙，但理没错。务实确实是最重要的事情，但理想有时候是点睛的那一笔。,banfo,正文段落,中性,a5b25ba62f44d74f3daf303f68c839c7,7.0,待处理,设问反驳 + 辩证统一,逻辑
论成分，传统成分都做烂了，几时轮到你出头？不同环境诞生的植物天差地别，海拔温度不同，成分浓度也高低迥异，要在成分上出彩，那就只能拿脚去量天地。,banfo,正文段落,中性,56675308d297458fc22460d81b9fd3b6,7.0,待处理,提出问题 + 给出答案,逻辑
就八个字，“学我者生，似我者死”。跟别人一样，永远没有出路。,banfo,金句语录,激昂,63e94ced359ba04dfdfb051b020743d5,9.0,待处理,引用名言 + 观点强调,逻辑
各地的紫外线程度，空气污染程度，水质都有区别，饮食习惯大不相同，拿国外配方楞套到中国消费者身上，能成功，才是怪事。,banfo,正文段落,中性,54cc47927093ef9855f70c4150172333,6.0,待处理,列举差异 + 逻辑归谬,逻辑
三年，三十一项专利，就为了made for china。,banfo,正文段落,积极,5dbbb0904712ac2f3ba2d3b4e8e93e38,7.0,待处理,数据支撑 + 价值升华,数据流
消费者导向下，品牌以消费者为中心，更想创造价值，而不是分配价值。,banfo,正文段落,积极,c0e1a972b34e2dd4464e9d793beea028,8.0,待处理,概念对比 + 价值主张,对比
产研合一，成了个循环。,banfo,正文段落,中性,ccd5cd04b3a7997d58c4ef47d126779e,6.0,待处理,总结提炼,逻辑
在科研这个领域，中国品牌，有跟国际同行掰手腕的实力。,banfo,正文段落,激昂,0b24d32fdcf47b75716ed619ecaf122a,8.0,待处理,实力宣告,逻辑
护肤品不仅仅是护肤，更有护心。,banfo,金句语录,积极,8b0f2db42e6d8e95ff4f74e392c01162,8.0,待处理,概念升维,逻辑
为什么消费者要花大价钱用国际大牌？是它真的更好用吗？不，是因为通过护肤品，我幻想我到了巴黎，威尼斯，普罗旺斯。,banfo,正文段落,中性,5e5a1da4aca6058ff2354501fef0a03e,7.0,待处理,设问自答 + 揭示本质,逻辑
有人说化妆品是安慰剂，但某种程度上，安慰剂代表了一种梦幻。可以说那里没有那么美，但护肤品上脸的这段时间，我梦到了。,banfo,正文段落,积极,427acb5dbb6254b53e2019e7cebae76a,8.0,待处理,承认事实 + 情感肯定,"煽情,数据流"
如果有能力，谁不想环游世界，当然想探索世界的奥秘，可我大好年华被困在了生活的循坏里，我走不开，逃不出去。,banfo,正文段落,消极,bf7c30d319b62040688fa6464df50652,7.0,待处理,情感共鸣 + 制造痛点,"共情,煽情"
我们用国货，是真的把它当成“货”，就不少国货的现状，我指望它来安慰我，那是我自己不懂事。,banfo,正文段落,消极,82d25f6586576cd7d06f4a5a9c10a59e,7.0,待处理,自我反思 + 现状批判,逻辑
“当我们见识了世界的“大”，就会放过“小”。”,banfo,金句语录,积极,d0c7d6ff668d662098327ba0a50fe6b0,9.0,待处理,对比哲理,对比
但一个昏昏欲睡的工作日，一个平凡又平常的时刻，当你路过了拐角，打算买一杯咖啡时，就有可能与世界撞个满怀，不期而遇。,banfo,正文段落,积极,47be19c95ab681794af33604dc4b841f,8.0,待处理,场景描绘 + 情感触动,煽情
大家焦虑，就是因为见惯了生活的“小”，害怕失去探索“大”世界的勇气和能力，害怕习惯了碌碌无为，又习以为常，彻底迷失在生活里。,banfo,正文段落,消极,3283e618f821ca4cb5b440cf56c85487,7.0,待处理,剖析焦虑根源,焦虑
那品牌告诉你，没关系。,banfo,正文段落,积极,279741c37b88d995709a51c86a8d0222,6.0,待处理,情感安抚,煽情
世界离你并不远，没关系，总有一天，你能走出去。,banfo,金句语录,积极,19edc1486ce3e5b459d2d3b1a2e7174a,8.0,待处理,鼓励与希望,逻辑
大牌给你幻觉。品牌，想给你个念想。,banfo,金句语录,积极,c1cde1f70a1d49bdea12f812201d5b14,8.0,待处理,对比定位,对比
舍弃了各品牌习惯的梯媒、户外大屏的单点输出，品牌想真正“走”入你的生活。,banfo,正文段落,积极,a41007b31f4f77105e5497a1a4e304a5,7.0,待处理,对比突出 + 行动主张,对比
它想沟通，想跟你说说话，世界是很大，也真的小，美却不分大小。,banfo,正文段落,积极,07eab8599b93a25ecdb1143d2084298f,7.0,待处理,拟人化 + 哲理总结,逻辑
