内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
露露杏仁露，人生最后的开塞露,banfo,开头金句,激昂,1cc9d6fca76f702c0d3b67bad3699b79,9.0,待处理,比喻反差,对比
这款饮料说来很怪。它挑人。有的人喝它，觉得它是人间佳酿，而有的人喝它，则觉得它自带一股古怪味，硬是把人类的多样性给整明白了。,banfo,正文段落,中性,3a76fac00561f9431a14da96f19f8f06,7.0,待处理,对比反差,对比
它还挑年龄，年轻时候看这玩意儿没法入嘴，但年龄一大，就又重新爱上了它，爷爷奶奶那辈过年真就认它，不认别的。比测骨龄还灵敏。,banfo,正文段落,中性,0678b863eebbb57b2dd10481a6f8ee10,7.0,待处理,时间对比,对比
别的饮料谈论入口，而露露，有人谈论出口。甚至还有人说露露能增香，喝完之后浑身都有一股子露露味，就连排泄物也能自带露露的芬香。,banfo,正文段落,激昂,4994cba661d9c922e8c4e4e92055afc7,8.0,待处理,幽默反差,对比
就这个诡异的画风，知道的明白这是露露的评论区，不知道，还以为跑到了开塞露的评论区。把露露和开塞露都整蒙了。糟了，我成替身了？,banfo,正文段落,激昂,04991fae8e46ed85337dac4dea3ba034,7.0,待处理,幽默自嘲,逻辑
看一下露露的成分，你会发现谜底就在谜面上。乍一看很正常，在食品工业界已经算是非常单纯的了。该有的都有，不该有的都没有。,banfo,正文段落,中性,91d0aafaf73502d6725c669685de749d,6.0,待处理,制造悬念,逻辑
每百克杏仁含膳食纤维11.8克上下。这个膳食纤维是个什么水平呢？知名通便食物苹果的膳食纤维含量在每百克1.7克左右。,banfo,正文段落,中性,8ee71c14984b3fee171be08583b40001,6.0,待处理,数据对比,"对比,数据流"
而巧了，露露这东西货真价实，真的加了很多杏仁。这就导致膳食纤维含量巨高。所以，有人喝了就有感觉，很正常。,banfo,正文段落,中性,4806bdf3e35fdbd1c49a07ace7a6b8af,5.0,待处理,因果解释,逻辑
五谷轮回到一半起夜了，那肯定有露露的味道啊。,banfo,金句语录,激昂,010f22936ccde65beca7f4c3345ca28b,8.0,待处理,幽默比喻,逻辑
前面的东西，看起来只是一点小知识小细节。但不要小看这些细节，不要小看人生后门的功夫。我们那边至今老人都爱喝露露，竞争力都在细节中。,banfo,正文段落,中性,4c893a6f9a8f06e80bc40a320aac3404,7.0,待处理,升华主题,逻辑
窜稀是问题，但便秘是更大的问题。,banfo,正文段落,消极,9545d4471af87bc28911e11440fca3bc,6.0,待处理,对比强调,对比
照顾过老人的朋友都清楚一个事，上了岁数的老人不经意尿到裤子上，拉到内裤上真不算什么事，洗一洗，晒一晒就好了，真不行了整个成人纸尿裤，一步到位解决问题。但怕的是什么呢？怕不拉啊。,banfo,正文段落,消极,5d74d39dac5d19ed17c2ffe5b93b21f1,7.0,待处理,情感共鸣,"共情,煽情"
老人一便秘，很无解。这个时候，常规办法都不好使了，一个是老人身体素质在这摆着，你又不好开猛药去强行刺激，怕身子太虚，吃药受不住，另一个是就算你敢开猛药，也不一定真就能把下水道给疏通了。,banfo,正文段落,消极,079e5ce9a41765257cbf1a7a67f23979,7.0,待处理,制造焦虑,焦虑
你说到最后，能怎么办？戴上手套，用开塞露吧。不要觉得恶心，因为这个时候不止你恶心，老人更难受。人是老了，但也还有尊严。,banfo,正文段落,消极,72ff9eefccd8c7c771bbd553eefff937,8.0,待处理,情感共鸣,"共情,煽情"
比起需要家人或者护工来干这些，老人更希望自己能撑过来，人活到最后，就是活一口气了。,banfo,金句语录,积极,4d78763190f3cde77b1ab200de932c31,9.0,待处理,情感升华,煽情
这个时候，你再看露露，感觉就眉清目秀起来了。露露是植物蛋白饮料，只要控制好量，基本不用担心窜稀的事，自己提肛顺心，家人照顾放心。,banfo,正文段落,积极,8c4df0b2376b0954168be6b590b9dbeb,7.0,待处理,先抑后扬,逻辑
而且这个东西热饮味道更好，那个罐子直接丢热水里就可以，开水壶把热水烧开后，直接丢一罐露露进去，过一会儿喝就是了。温暖好喝。,banfo,正文段落,积极,9e989d11a094c96d60e9d81c8b33ac2f,6.0,待处理,场景描绘,逻辑
为什么中老年人这么爱喝露露，爱让年轻人给他们送露露？为什么露露如此受老人欢迎？因为你送的不是露露，而是人生最后的开塞露与尊严。谁活着，不想要这个呢？,banfo,行动号召,激昂,ac59698edb33941ccd3455c52076316b,9.0,待处理,情感升华 + 反问共鸣,"共情,煽情"
盲目全职做内容，死路一条。,banfo,开头金句,激昂,1e7922e59eda15b73d924725f3057557,8.0,待处理,制造焦虑 + 断言,焦虑
感谢大家一直以来的阅读、在看和转发，由于微信官方变动，之后所有的抽奖都放置在后台，大家可在公众号页面发送相关暗号关键词获取抽奖，每一篇文章会给到一个不同的暗号，对应的抽奖都是独立的，此篇暗号为【花开】，在后台回复【花开】，即可点击进去参与抽奖！抽奖内容、金额、个数等都无变化，在开奖前参与抽奖，操作均有效。,banfo,正文段落,中性,fed99221a43dfac7d14038c29a18922f,3.0,待处理,解释说明 + 行动引导,逻辑
我也不是一开始全职，在没红之前的那么多年都是白天上班或上学，晚上兼职写的。,banfo,正文段落,中性,981f50706ad3babfd03a00653a49b705,7.0,待处理,现身说法 + 降低预期,逻辑
大部分人读书时写800字作文都困难，写论文能要了亲命，却觉得自己能轻松做内容成功，一看就是知识付费最爱的那种韭菜。,banfo,正文段落,消极,abd8070e9dfc928cbc7b29fc7f456121,8.0,待处理,对比讽刺 + 制造共鸣,"毒舌,共情,对比"
