内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
它现在的地位有多离谱呢？约等于你看着赵子龙冲进长坂坡，七进七出后，他把曹冲称的那头象给抱在怀里救出来了，这头象称帝后带领蜀汉北伐，最后人类终于打败了三体人一统赛博坦。,banfo,开头金句,激昂,899f245ac9e2db0c88e01cd3a7946d29,9.0,待处理,夸张类比 + 制造悬念,逻辑
它是个清水版的果汁。约等于没了纤维素、果胶、固态残留后的清水版苹果汁。主打一个清纯皎洁白月光。,banfo,正文段落,中性,d37066e06e0229e9966bfa57d290da12,7.0,待处理,重新定义 + 形象比喻,逻辑
你说它提神醒脑吧，它没咖啡因肌酸；你说它是运动饮料吧，它也没有钾盐钠盐，反倒是苹果里的成分，它几乎都有。,banfo,正文段落,中性,a72af21f894f6cadaebd584161ce2a19,6.0,待处理,先抑后扬 + 对比反差,对比
很多朋友不知道苹果有多牛。蔗糖、果糖、葡萄糖，苹果里都有，果糖还倍高。柠檬酸、苹果酸都有，甚至苹果酸就是从它的果汁里提出来的。维生素C它也有。,banfo,正文段落,中性,aeb82d700f100d34bfe37d53ec3e92d0,6.0,待处理,列举论证 + 强调核心,逻辑
最重要的是，苹果便宜，哪儿都能长，一个苹果80%都是水，出汁率80%，啥饮料不好喝，往里炫苹果汁就完事了。,banfo,正文段落,中性,4c6e504d9c00645bec202da39774a714,7.0,待处理,成本揭秘 + 口语化表达,逻辑
甚至它里直接就加了苹果汁，这约等于原汤化原食。,banfo,正文段落,积极,dd6b493d9a78c43d20d2fcdecc5234d3,7.0,待处理,幽默类比,逻辑
这些最便宜的一公斤四块，最贵的也就一公斤一百六，都是少量添加的成分，换算到一瓶里，那小数点后面的零多到你以为到了成都太古里。,banfo,正文段落,激昂,d6eea1b4281f614a388d36b97081e399,8.0,待处理,成本揭秘 + 夸张比喻,逻辑
大哥你喝个苹果汁能有啥反应？你把它洒电脑上了才会有反应，漏电到电你动脉。,banfo,正文段落,激昂,78fb644c0ce482b25da96484c6358751,8.0,待处理,反问调侃 + 制造笑点,逻辑
大哥，只要你愿意，你运动时甚至可以喝花生油，一边跑一边喷射，给你的竞争对手一点点旧能源震撼。,banfo,正文段落,激昂,6248e1b833ac7b9c589f22fb21bb1aa6,9.0,待处理,极端举例 + 幽默讽刺,毒舌
更离谱的事儿这就来了。你以为它是靠成分火起来的吗？不全是，准确地说，是靠瓶子。,banfo,开头金句,激昂,b044b08b3ab4aa49c60c932673df2a00,7.0,待处理,转折 + 制造悬念,逻辑
但它是600毫升，比他们还多50。现在饮料都是500毫升，那就得多了100。为了让人喝得更爽，别人的瓶口直径是28毫米，它的瓶口直径是38毫米，粗到不讲理。,banfo,正文段落,中性,954cda5bc0bfacad9deff9dedf38e715,6.0,待处理,数据对比 + 强调优势,"对比,数据流"
它叫卖动。很多迷信的老板都不敢冷落它，生怕别的饮料卖不动。,banfo,正文段落,积极,5fb8d8f51b8a3e26cdf78ccf540f50ba,7.0,待处理,谐音梗 + 心理洞察,逻辑
就这么一步一步被拿捏的样子，像极了网恋奔现，结果给网友的孙子补习了一宿数学。,banfo,正文段落,激昂,70eba45aa22dfef82fe4809b97a87670,8.0,待处理,比喻 + 情感共鸣（荒诞）,"共情,煽情"
更离谱的是，当年就这个大容量和大瓶口，救了两拨人命。,banfo,开头金句,激昂,c93445739836da9c2a8db08002fbce3a,7.0,待处理,夸张 + 制造悬念,逻辑
你拿个粗口的瓶子，运动完你就可以故意洒出来那么喝，装大侠。喝完这个再装上尖叫的盖子，你就可以拿水滋路过的翘屁股的胖子。为什么我这么明白？因为我就是那个胖子。,banfo,正文段落,积极,e713081c6ac74c3682a72cfd57f8260f,8.0,待处理,场景还原 + 自嘲,逻辑
等他们再大一些，学会整小抄了，用胶带黏住小抄纸，在水里泡掉多余的纸，这沾了字的胶带正好可以粘在瓶子上，不透色。,banfo,正文段落,中性,5ce1b1b32187e4b53a2520dbd2fdcf7e,7.0,待处理,细节故事 + 时代记忆,逻辑
因为我们这茬人已经开始当老师了，拿CF练出来的视力，这点小伎俩糊弄不了。,banfo,正文段落,积极,578d096ae98526814c42d4a88eea2f16,7.0,待处理,时代对比 + 幽默自嘲,对比
路，野，小巴，更野。一条路几个小时，什么时候停，不看服务区在哪儿，看师傅这包烟抽到了哪儿。,banfo,正文段落,激昂,51d6677a0282aff071bcc73768026112,8.0,待处理,短句排比 + 生动描写,逻辑
司机说我超载了，我说我也是。司机说我冲动起来了根本忍不住，我说我也是。司机说我停不下，你说我也是。司机说我不能走回头路，我说我也是。司机说小伙子你可真懂我，你……你从我车上滚下去。,banfo,正文段落,激昂,6fb9ac075ffccb19c7f8bee70c56357d,9.0,待处理,重复句式 + 反转幽默,逻辑
一小时的车程交给司机，两小时的车程交给自己，三个小时以上的交给它，更长的车程，交给洗车场。多出来的这一百毫升，是你和社死的缓冲区。,banfo,正文段落,激昂,80ec5a1116a0fb52cf8415bf4fbce5ac,9.0,待处理,递进排比 + 精准洞察,逻辑
很多人就是通过它，在车上交到了新朋友。,banfo,正文段落,积极,95a11f226986346d3982b26970a7fc3f,7.0,待处理,情感升华,煽情
于是它明明是一个饮料，却成了乘客们的好朋友，安静地陪他们走到每个人生的路口，成为了上个时代的公路和堵车必备的传说。,banfo,正文段落,积极,57bdf53b74e6778ac792d8f8cdc0649a,8.0,待处理,拟人化 + 情感升华,煽情
你看着它，它都不是饮料，而是一段过去的岁月的作料。你或许不想喝了，但永远也忘不掉。,banfo,行动号召,积极,21f62d2c603d1f088b087c614ea7ea26,9.0,待处理,比喻 + 情感共鸣,"共情,煽情"
营销人的眼泪，是为百度流的,banfo,开头金句,消极,faa288a88cb0eee2117289890ded1ba2,7.0,待处理,情感共鸣 + 行业痛点,"共情,煽情"
在生成式AI诞生前，营销数据是块鸡肋，因为没有合适的工具去搜集和使用它们。,banfo,正文段落,消极,b6ff0b0488f100e3b78321832f386c31,6.0,待处理,先抑后扬,逻辑
现在靠着生成式AI，营销人终于睁开了眼睛。,banfo,正文段落,激昂,91710af04cd61fd12298fc4fd3bb5c18,7.0,待处理,转折强调,逻辑
在这种级别的数据利用效率面前，过去所有的营销人、广告主和品牌方都得哭着说，怎么没早遇到这些东西。,banfo,正文段落,激昂,78cc544ac8520ba2d118e9c06d5eb9db,8.0,待处理,对比夸张 + 情感共鸣,"共情,对比,煽情"
关键是，它为营销提供了最重要的【确定性】。,banfo,正文段落,积极,feb570691a6b70dcfdb4e1d95cc66051,7.0,待处理,核心论点,逻辑
品牌营销是一个长期任务，不是靠一时的灵感大爆发就能行的。,banfo,正文段落,中性,9b907329da8fdd762cb95fae05e0b804,6.0,待处理,否定旧范式,逻辑
过去营销行业虽然也有一些理论指导，但总体来说还是在靠个人的才华、经验和灵感来主导。,banfo,正文段落,中性,4054115b15294464241fae55643327e1,5.0,待处理,铺垫问题,逻辑
这东西不是不好，而是确定性太差了。,banfo,正文段落,消极,8a5754a75d72c1ad7e8dff77ecc9077c,6.0,待处理,欲抑先扬,逻辑
再牛的人，也有一天才华用尽，经验误判，灵感枯竭的一天。,banfo,正文段落,消极,d563999158057198e7cd02ab10862b01,7.0,待处理,制造焦虑,焦虑
甚至你的创意没问题、才华也没问题，但品牌代言人或演员出事了，这又找谁说理去呢？,banfo,正文段落,消极,95b6478f7119c3f576653ad204cb2df7,6.0,待处理,列举意外风险,逻辑
但如果你用的是生成式AI，压根就不会遇到这些问题。,banfo,正文段落,积极,8f82b8ab6a03bf50191e0a6680f52992,6.0,待处理,解决方案,逻辑
因为AI的输出效率是很稳定的，一千个创意可能也就消耗几度电。,banfo,正文段落,积极,88930b2ffde0ac3374d9c6b4f03cd94a,7.0,待处理,量化对比,对比
而且AI生成的虚拟人还不会乱说话，更不会乱来。,banfo,正文段落,积极,26daf3138a2bd8a0b9c3519709258e2f,6.0,待处理,补充优势,逻辑
稳定、不出错，远远比突然来一下的神经刀从生产上更有价值。,banfo,正文段落,积极,790461154339978b90b058f96e4ef75e,8.0,待处理,价值主张,逻辑
就像几十年前企业的老出纳看到新人用excel表格对账之后，想起自己过去一对就是好几天，肯定是要抱头痛哭的。,banfo,正文段落,激昂,9f7c1095742000dca6c091eabdb6aae0,8.0,待处理,类比故事,逻辑
而只会用普通excel的出纳，遇到会熟练使用各种函数的高手的时候，也会觉得自己的时间被浪费掉了。,banfo,正文段落,消极,137e325484d4dd6c968b7fd3f822d23f,6.0,待处理,深化类比,逻辑
excel表让很多出纳一辈子的辛苦都成了笑话，生成式AI也让很多营销人哀悼自己无效熬夜掉了太多头发。,banfo,正文段落,激昂,ccfc1647a2eac36a73e4d98e4fabc7a3,8.0,待处理,情感共鸣 + 幽默夸张,"共情,煽情"
如果没有新工具，未来的新人们还要把过去吃过的苦头再吃一遍，重复那段打耳光、憋尿想创意的苦日子，这就太荒谬了。,banfo,正文段落,激昂,68ae2cbaefe71595e254c6019ef6630a,7.0,待处理,制造恐惧 + 荒谬感,焦虑
你说新工具一定是完美的？一定是没有问题的吗？当然不是。,banfo,正文段落,中性,514ea8443c4d70131a86db809a15d115,5.0,待处理,自问自答,逻辑
新工具推行与磨合的过程中，一定会有各种各样的不适应， 但它最终的结果，一定是促进行业发展，让行业里的人过得更好，效率更高。,banfo,正文段落,积极,341be6387b0c3db81c2c4d1a2cea75d1,7.0,待处理,承认问题 + 展望未来,逻辑
至少从今以后，创意人再也不用在办公室里面憋尿了，这就已经很好了。已经足够了。,banfo,正文段落,积极,e1c4b9cd76f7aae66929ea09c322e86e,7.0,待处理,具体好处 + 情感升华,煽情
我堵在新手村，卡死便宜化妆品的路,banfo,开头金句,激昂,be62b17d708e8e786835c28d2c3902a5,8.0,待处理,比喻+制造冲突,逻辑
感谢大家一直以来的阅读、在看和转发，由于平台变动，之后所有的抽奖都放置在后台，大家可在公众号页面发送相关暗号关键词获取抽奖，每一篇文章会给到一个不同的暗号，对应的抽奖都是独立的。,banfo,行动号召,中性,4c3767b5a93c41c907a9539d714b911a,3.0,待处理,解释变动 + 明确指令,逻辑
我没听过+中学生都在用，这两个关键词让我汗流浃背。,banfo,开头金句,激昂,12deda73df876d62baca25d7057ee600,7.0,待处理,制造焦虑 + 身份反差,"焦虑,对比"
我自认自己当年做尽调的时候南方大部分代工厂都跑过，这些年写过的化妆品牌子多到数不过来。但这一刻，我觉得自己完了，要被淘汰了。,banfo,正文段落,消极,127d351aafd5520208009c58d0e13179,7.0,待处理,先扬后抑 + 自我怀疑,逻辑
营销费用只占了营收的15%。15%是什么概念？这么说吧，这个是彩妆，是一个几乎全靠营销驱动的消费品类。,banfo,正文段落,中性,9c35fb92a1227b7d0b5fa8fa43975a96,7.0,待处理,数据对比 + 颠覆认知,"对比,数据流"
对比国货同行的话，毛戈平销售费用率常年维持在42%以上，完美日记更是曾经在某一个季度做到了62%。,banfo,正文段落,中性,3dfa8bd5c80497f72c9a0e41b3e2dd81,6.0,待处理,数据锚定,数据流
为什么花洛莉亚能窜得这么快，一个非常简单的原因。便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜便宜。,banfo,正文段落,激昂,49c2351235d47897eb3536001572ff25,8.0,待处理,重复强调 + 核心观点,逻辑
当外资大牌卖一百多，国内同行卖大几十块的时候，花洛莉亚就只卖几块钱。你没看错，这个价格，还包邮。你很难说这还能上当。,banfo,正文段落,积极,37f047a5ca549f14b1e7c84f4a897d3b,7.0,待处理,价格对比 + 打消疑虑,对比
这个价格还包邮，学生最爱啊。,banfo,正文段落,积极,110cf411b5c93f1b00c554428c2048fd,6.0,待处理,用户画像洞察,逻辑
那问题来了，这东西卖不到8块，能赚钱吗？有人就问了，一只眉笔只卖7.9，还能赚钱吗？理论上是可以的。因为代工厂做出来也就四块多钱。,banfo,正文段落,中性,7759c1ce8203334b12f43d7526755e68,6.0,待处理,设问 + 揭秘成本,逻辑
贵的是包装，是各个环节的运输运费（工厂到仓库，仓库到门店，仓库/门店到客户手里）。这也是为什么市场上会出现九块九能买五只的眉笔套装，但你只花两块钱是买不了一只的原因。,banfo,正文段落,中性,06ea0b8ccdd956f3245323a796e011b1,6.0,待处理,成本结构分析 + 常识解释,逻辑
只卖几块钱想要真的赚钱也并不那么容易，只要有压货和库存，就需要继续打折，继续做促销，需要低价卖给主播让他们帮着出货，那到品牌方手里可能就真的只是做了个寂寞。,banfo,正文段落,消极,632c5c9743533b5bb016b24660784b35,7.0,待处理,揭示风险 + 生动比喻,逻辑
卖一件就能覆盖好几件卖不出去的成本。,banfo,正文段落,中性,bd0b1028966087735cd68abcb0f30832,7.0,待处理,商业模型洞察,逻辑
低价是谁都能想到的策略。但低价同样是一个能力。你必须有足够规模的情况下才能做到低价，量太少任何一家代工厂都不愿意给你开模。这个定价，就已经把一堆想入行分食的人给拦在门外。,banfo,正文段落,中性,9ebbbaa0c4d3743ccfd4f2b8ed85facb,8.0,待处理,辩证分析 + 竞争壁垒,逻辑
因为一切都没有秘密，所以特别有趣。,banfo,正文段落,积极,238e7003da6770a8fcf7b752b8a74776,6.0,待处理,总结过渡,逻辑
花洛莉亚选了一个看起来很鸡肋的细分赛道。相比其他彩妆品类，眉笔甚至不是一个化妆的必需品，至少不是补妆时需要的。,banfo,正文段落,中性,6a7f0ccc5c82568b7889d918791ef523,7.0,待处理,逆向思维 + 赛道分析,逻辑
但是，但是，但是，但是。这对没钱的新牌子来说同样是好事儿。相对来说，战争不太激烈。,banfo,正文段落,积极,f46cea638419b3899f270c6d31705760,7.0,待处理,转折强调 + 机会洞察,逻辑
你看，这不就给小品牌留了机会了吗？,banfo,正文段落,积极,871ffd75b6bc4f8b1188de25c62c0728,6.0,待处理,反问引导,逻辑
而且，眉笔的复购率仍然要比那些口红高得多。因为只要用户认准了一个眉笔，大概率是不会换的。好不容易找到一个合适的，价格能接受的，就不换了。,banfo,正文段落,中性,ece727b1be87c6de91d369cf2d9ad37b,7.0,待处理,用户行为分析 + 复购优势,逻辑
很多人会收集口红和眼影盘，但少有人会去收集眉笔和眼线笔。所以，这个品类需要营销驱动，但又没有那么营销驱动。,banfo,正文段落,中性,165a1e31259e84a38e1ae1ba3d323f76,7.0,待处理,品类特性对比 + 辩证总结,对比
有了足够多的用户基数，有了复购，哪怕不用营销也能活下来。【选择努力】，这个公式永远是成立的。,banfo,正文段落,积极,3a971bad61390124753a0d5a3c827c34,9.0,待处理,核心观点 + 金句提炼,逻辑
如果花洛莉亚做了口红和眼影盘，可能早已经被其他有钱烧的彩妆大牌给围剿死了。花洛莉亚既选对了品类，也选对了做这个品类最正确的姿势。,banfo,正文段落,积极,3cce319e0ef5dcd706a7343c41d955e8,8.0,待处理,反证法 + 成功总结,逻辑
但这时候，我再一想，花洛莉亚这以后怎么做品牌升级啊，价格这么低？除非你把互联网的记忆都消除掉，否则别人对你的印象就一直就是一个廉价货的形象。然后我意识到，升级个屁！躺在这里，就好了。,banfo,正文段落,激昂,f319c042e080c1629fa1d96c21a7bdd8,8.0,待处理,设问 + 颠覆常规 + 结论反转,逻辑
现在已经是兼顾了安全，效率，规模以及利润的点了。干嘛要往上卷？能在新手村当王者，干嘛去仙界当炮灰？,banfo,正文段落,激昂,ef0cc85d2ed82c3b77ba9844a292366d,9.0,待处理,多维平衡 + 生动比喻 + 金句反问,逻辑
看着花洛莉亚堵在新手村很爽对吧。但为什么这个策略这么简单，但没什么人跟上。因为花洛莉亚有一个无法复刻的好运气，因为在2020年就上了李佳琦的直播间。,banfo,正文段落,中性,a14908b13b09713958efadaced904fd5,7.0,待处理,承上启下 + 揭示运气因素,逻辑
在那个时间节点，直播电商才刚刚起步，行业虽然已经很卷了，但远远没有现在这么卷。去上超级头部主播的直播间，并没有现在这么难，且效果也远比现在要好得多的多多多。,banfo,正文段落,中性,9657ff9a09652f29b0c9aeb1789b9167,7.0,待处理,时代红利分析,逻辑
李佳琦带彩妆，不仅仅是销量会飙升，同时也代表了顶级彩妆博主的一种背书。,banfo,正文段落,中性,e252d91b6ea7d7f532d2555845adb8fa,7.0,待处理,KOL价值分析,逻辑
问侄女，便宜的牌子那么多，为什么选这个？答案都是，李佳琦带货过。,banfo,正文段落,中性,c2825c925b68502ec187bdd588d742a7,6.0,待处理,用户访谈 + 归因验证,逻辑
而现在，你哪怕做到同样的低价，同样的质量，你想上李佳琦直播间，先不说李佳琦现在对眉笔类产品更谨慎，背书效果也远远没有之前那么好了。关键是你这个价格，人家也看不上了。就是看得上，你这个价格，也没钱给人家了。,banfo,正文段落,中性,4ac20c84d97d225b1cb1c001c3c348f9,7.0,待处理,时过境迁分析 + 竞争壁垒加固,逻辑
这就代表了，没有后来者能吃这个机会了。而巨头们，不可能崩掉自己的定价体系来卷。花洛莉亚，就赶上了这个泼天的富贵。哦不对，没那么大，这泼地的富贵吧。,banfo,正文段落,积极,d838d1a3ea48d0e9231a48b745645a11,8.0,待处理,结论总结 + 幽默修正,逻辑
