内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
我或许也要谢一下他,banfo,开头金句,激昂,e288b0c51c91ea758a76e21dcb9f6b02,7.0,待处理,观点前置+悬念制造,逻辑
事情到这里，我已经觉得很无聊了，没有挑战了。这是最后一篇。,banfo,正文段落,中性,d75dbff3d682dd4fb5dcdd6dc15312a1,6.0,待处理,先抑后扬+建立权威,逻辑
很多人看了他的直播，觉得他真的是很理想主义又很清醒，另一方也非常大方大气体面，反而第三方满嘴商业利益斤斤计较显得市侩商人，弄不好还有打击竞对的想法目的不纯。,banfo,正文段落,激昂,fa1e8b0ad06b0094c0741ecafff53e05,7.0,待处理,对比反差+制造争议,对比
我这次要谢两方。一方是自己的粉丝，粉丝展现出了巨大的能量。另一方就是他，要谢一下这个前辈和师兄，不是他当了大恶人，戳破公司表面的一切虚伪，用行业客观现实砸在公司脸上和公众面前，给了公司那么大的压力和威胁，自己这波不会这么顺利和体面。,banfo,正文段落,激昂,c10dc5c3c52e7a9811a7d0f02bb5422f,8.0,待处理,二元归因+角色定位,逻辑
而且关键是，骂名还让他给背了。,banfo,正文段落,消极,2a6ab6add3bd2240783f9f17c97baa87,7.0,待处理,情感共鸣+牺牲者叙事,"共情,煽情"
就是他出手，盯着对方搞直播，才真正把对方架在火上烤，才真的逼另一方雷霆出手免掉CEO以及在后续的博弈中给到我超出预期甚至他都承认的【天价】待遇。,banfo,正文段落,激昂,25e03d918f2b5ecec4a3eb59715865ed,8.0,待处理,因果链条+戏剧化描述,逻辑
没人知道他心里想的是什么，动机是什么。是真的欣赏我，看不惯这件事儿。还是单纯跟对方的恩怨情仇，有机会添堵义不容辞。还是出于打击竞对的目的。又或许这些都多少沾点。这些只有他自己知道，人是很复杂的。,banfo,正文段落,中性,9b1853efa77a44a148a404ae38aa8447,7.0,待处理,动机罗列+人性复杂论,逻辑
但客观上，没有他出手，没有他作为一个恶人，如此坚决地盯着不放且在自己的直播间点火，没有这个超级网红+头部带货主播+老冤家+上市公司竞对摆在这里，我这件事儿绝对不会那么顺利。,banfo,正文段落,激昂,5898a3ddaf2b4636fb433e5aaf839ed6,8.0,待处理,假设否定+多重身份叠加,逻辑
我是体面人，体面人就容易在谈判上被欺负，说不出直接且难听的话，这是读书人老实人的通病，我们自己在职场中就有多少因为磨不开脸不擅长拒绝从而吃亏的经历？,banfo,正文段落,消极,20b99de9e877363e42d5ef8949664f86,9.0,待处理,身份标签+群体共鸣,共情
不直接，不难听，不糊脸，就是会给别人拿捏老实人的空间。,banfo,金句语录,消极,f5a108a9b5bb786b2ffa332c97c07f59,9.0,待处理,排比句式+职场洞察,逻辑
