内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
都在骂网暴，为什么网暴一直没有停过,banfo,开头金句,激昂,41a4125c4986c49f7d856b8eeed076c0,8.0,待处理,提出问题 + 制造悬念,逻辑
骂网暴的文章已经到处都是了，我想讲另一个角度。,banfo,开头金句,中性,b1af41a93b4ab23df10c1a443c031029,6.0,待处理,制造差异 + 建立权威,逻辑
但，为什么都知道网暴不好，但网暴这件事儿一直没有停过？,banfo,开头金句,激昂,dae18f8906332b1d155d293757113cb7,7.0,待处理,重复核心问题 + 引发思考,逻辑
因为网暴说是一种情绪的爆发，而不是一种实体。,banfo,正文段落,中性,fe06a16c8d5d1fe919b0fde28f941000,7.0,待处理,重新定义 + 观点提炼,逻辑
每个人，只要情绪失控或者想要发泄，都有可能成为网暴的一部分。,banfo,正文段落,消极,d47b9cb5e054acf4c805efb36686ddce,7.0,待处理,普遍化 + 降低道德门槛,逻辑
大家在互联网上展现的，本质上不是【人】，而是【特定情绪】。,banfo,正文段落,中性,1ee2849ad0e2ba09cb17cad8ec382d34,8.0,待处理,本质洞察 + 概念提炼,逻辑
一个个ID背后，不是【完整的人】，而是一个人的【一段情绪】。,banfo,正文段落,中性,6ed4696a42172cdb419491eeb2c0b15f,8.0,待处理,形象比喻 + 深化概念,逻辑
一个日常很平和正常的人，完全可以在网上化身为喷子,banfo,正文段落,消极,9b88ed35e0870787c418449ced275c5b,6.0,待处理,反差举例 + 增强说服力,对比
同一个人，在不同的网络平台上，表现出来的样子都会完全不同。,banfo,正文段落,中性,b6da37faa76f835135bfc2b5975f39d1,7.0,待处理,排比举例 + 强化观点,逻辑
人是极为复杂的生物。他在网络上的表现，是【他的一部分情绪】。,banfo,正文段落,中性,d8a4e87f732454b9153dd7a54e852620,7.0,待处理,总结观点 + 回归核心,逻辑
互联网真正的不同之处在于，把这些声音，这些情绪，聚到了一起。集中引爆。,banfo,正文段落,激昂,54c1da6b1dc3e4f79547cd3741fab5ce,8.0,待处理,对比分析 + 揭示本质,"逻辑,对比"
量变引发质变。,banfo,正文段落,中性,5b68531d5a5dd1cb2e214762280b8e21,6.0,待处理,引用原理 + 简洁有力,逻辑
这时的状态，犹如凡人直面古神。,banfo,正文段落,激昂,cc87bed2fdc14efdd8fd2a947b2717a4,9.0,待处理,比喻升华 + 制造恐惧,焦虑
这千万人的喃喃低语，情绪表达，不管是善意还是恶意还是无意，都不是一般人可以承受的。,banfo,正文段落,激昂,c37cfd64383a4b751f2bd3d295adaf64,8.0,待处理,具象化描述 + 情感冲击,煽情
目光是有重量的，评论是有音量的。,banfo,正文段落,激昂,af2ccc6c0b7c2b902250fea2e6cb9fec,9.0,待处理,通感修辞 + 金句提炼,逻辑
人类最古老，最强烈的感情是恐惧，而最古老，最强烈的恐惧，是对未知的恐惧。,banfo,金句语录,激昂,559b4b1ea038d280aefa6c3bc5bcd0f1,9.0,待处理,引用名言 + 建立关联,逻辑
对于一个普通的个体来说，在由几十亿联网机器组成的互联网面前曝光，便犹如凡人直面古神的目光。,banfo,正文段落,激昂,5945e6311f15eb925a85ae626341e511,8.0,待处理,宏大对比 + 强化无力感,对比
这是一场精神检定，你相当于同时面对古神的注视和古神的低语。,banfo,正文段落,激昂,9513e87fef9fdb2e6301a4e18254f3a0,8.0,待处理,游戏化比喻 + 深化概念,逻辑
置身于那些汹涌浩瀚且无知无觉的流量，人类无论是身体还是精神，都太过脆弱了。,banfo,正文段落,消极,96fceaa6971c50b334339e7a3f3cadd6,8.0,待处理,总结升华 + 情感共鸣,"共情,煽情"
它们只是路过，就已经可以摧毁一个人的精神。,banfo,正文段落,消极,5f1f61a354c31bb5ff98ecaff7552e96,8.0,待处理,轻描淡写 + 强化悲剧性,逻辑
也许从来没有过魔鬼，魔鬼在每个人的心里。,banfo,正文段落,激昂,6e829c4c8916464d02452ba223eb214f,9.0,待处理,哲学思辨 + 金句收尾,逻辑
如何对抗心中的魔鬼，以及偶然迸发出的疯狂，这是一个永恒的问题。,banfo,正文段落,中性,e61dc3810f418461f0029c15f8fd754f,7.0,待处理,提出问题 + 引发深思,逻辑
感谢你的阅读，下面是1个抽奖链接按钮，具体时间开奖，一共是若干张，单张价值若干元的京东E卡。,banfo,行动号召,积极,2a67287799dae8cb96cf54d988fb73ac,3.0,待处理,利益诱导 + 具体描述,逻辑
袁记云饺卖的不是饺子，是大妈,banfo,开头金句,激昂,fd1edee54608a3b47ecee6afae63430b,9.0,待处理,核心观点颠覆,逻辑
这是一家快速扩张的连锁饺子馆，3000家店，是饺子连锁行业目前开店最多的品牌之一。而且还是起源于广东，可以说给了我一点点小小的南方震撼。,banfo,正文段落,中性,4bdb446e9eba29d7d172c7c3ed522411,6.0,待处理,数据支撑+认知反差,"对比,数据流"
【袁记】这种古典的中餐店取名方式，会让你觉得这好像真的是一家老字号。加上这个【云】字，你又觉得这是一家科技赋能的老字号。云饺子，不就是看吃播吗？,banfo,正文段落,激昂,0e885b5ff36f24c0abd260445b49fa7b,7.0,待处理,解构命名+幽默调侃,逻辑
袁记云饺的核心竞争力是大妈。它卖的不是食物，而是大妈的手工。从这个角度说，袁记云饺改名叫袁大妈也没啥问题。,banfo,正文段落,激昂,28731b0eecb8bb68523dc53964898589,8.0,待处理,核心观点深化,逻辑
熟食外卖针对的是价格相对不敏感的客户，生食水饺面对的是那些相对觉得可以麻烦一些、但希望价格会低一些的客户。,banfo,正文段落,中性,cfed3d58539b09509bf685be77a24fa5,5.0,待处理,用户分层分析,逻辑
饺子在国内很多地方，不单单是一种主食和碳水化合物，还被赋予了更多的意义。家的图腾。,banfo,正文段落,积极,3f88991b62921400f313627926292311,8.0,待处理,文化符号提炼,逻辑
尤其是春晚这么多年，把【吃饺子=团圆】这种公式烙在了很多人的脑子里。,banfo,正文段落,积极,110e808a648657a3db92e1fdd7be4802,7.0,待处理,文化仪式塑造,逻辑
很多北方打工人在大城市里漂泊，思乡情切，就会很想吃饺子。冬至吃饺子，七夕吃饺子，圣诞节也吃饺子，聚会吃饺子，送家人出门吃饺子，接家人回来吃饺子，好事儿吃饺子，啥事儿都要吃饺子。,banfo,正文段落,消极,277b7ebfee233b1d38a004c6bae723f2,7.0,待处理,情感共鸣+场景罗列,"共情,煽情"
如果从冰箱里拿出来一盒带着包装的速冻饺子或者云吞，然后下锅里，也不是不行，但就会感觉这包水饺是没有灵魂的。吃了，等于没有吃。,banfo,正文段落,消极,7448edd9e92e48dae9e2d6d982b5eff8,7.0,待处理,对比制造需求,对比
