内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
我一般在晚餐的时候吃午餐肉。不是因为我是一个叛逆的人，而是我每天晚上都要吃火锅。必须得是梅林，还得是那种最普通的有明确粉粉感的才行。,banfo,开头金句,激昂,23ef03a78b31ecb5e9d79da152eb0479,7.0,待处理,制造反差 + 建立标准,对比
别的午餐肉的感觉不对，就像炒饭应该用隔夜饭。,banfo,金句语录,中性,77b84c21bf14a42dc71dd42efe836ea8,8.0,待处理,类比,逻辑
梅林午餐肉遇到火锅，就像是增程车车主看到了充电桩，冰红茶加了冰，唢呐碰到了白事会。不算开挂，算开了全险半挂。,banfo,金句语录,激昂,6bc1b84091aa7ea9ac6c616ffa3aeaf9,9.0,待处理,多重类比 + 夸张,逻辑
在这个赛道跟梅林对线的午餐肉品牌不是想不开，是想重开。,banfo,金句语录,激昂,22bd4068179a7dcd9dfd59be6f5c5ecf,8.0,待处理,夸张 + 制造对立,逻辑
道理很简单啊，它就做到了一个字，嫩。极致的嫩，嫩到出了锅你都架不住，嫩到除了它，你根本不可能从自然界吃到同样嫩度的肉。,banfo,正文段落,激昂,e5fc92ef5ca542c5768678d3a69314d8,7.0,待处理,核心卖点 + 极致化描述,逻辑
人都想拥有婴儿肌，猪也一样。岁月是无情的，我们不能让一部分猪永远拥有婴儿肌，但科学是有情的，我们能让猪的一部分永远变成婴儿肌。,banfo,金句语录,激昂,0a1a0eb04a0d01306a404cdbaa5c118c,9.0,待处理,拟人 + 转折 + 科技赋能,逻辑
正常来讲，一头猪的体脂是15%左右，但一罐梅林，直接给你干到了20%，差的这5%，猪都要说这是科幻片。,banfo,正文段落,激昂,35fa70a384adc67fc050b8a4484c8a0b,8.0,待处理,数据对比 + 拟人化夸张,"对比,数据流"
多出来的这5%，约等于猪生命的奇迹，猪都要谢谢梅林，出走半生，归来仍是少年。,banfo,金句语录,积极,4a07863c67a4b35b0724c19efc7a3a81,8.0,待处理,拟人 + 金句化用,逻辑
脂肪一高，回味就是嫩，哪怕你的大脑告诉你这个肉是加工过的，但你的舌头会告诉你这头猪还没过青春期。,banfo,金句语录,激昂,ff766e704afb3b77d0bbb8e9427167de,9.0,待处理,感官冲突 + 拟人,逻辑
梅林会告诉你，人体，啊不猪体还是有极限的，而科技是没有极限的。,banfo,金句语录,激昂,3735c237915b109c1b257550892d8ef9,8.0,待处理,口误修正 + 核心观点,逻辑
不然肉还没进锅，基本上就煮散了。就像是没有经济支撑的爱情一样。,banfo,金句语录,中性,dd0e0342321882cba25f0f74ab80282f,7.0,待处理,类比,逻辑
最骚的它不光肉细，而且里面加了很多种吸水剂，法律合规的这点吸水剂恨不得全给你塞里面。,banfo,正文段落,激昂,2c65033773dc6c4a322f33ee3a02ddfb,7.0,待处理,揭秘 + 夸张,逻辑
磷酸盐直接把蛋白质爆改成溶胶状态，进嘴吸你口水，进锅吸你汤汁。也就是这一罐梅林最多能加一点点，不然火锅给你吸成干锅，异次元空间给你吸成七度空间。,banfo,金句语录,激昂,72093e197fc9c066374e31a29c2acafe,9.0,待处理,科技解释 + 夸张联想,逻辑
那可不是嫩吗，猪肉都快吸成海王了，恨不得你一咬，火锅店的水表都跟着转。,banfo,金句语录,激昂,c7520690ee7866285620ea9f1e110196,8.0,待处理,拟人 + 夸张,逻辑
你们玩儿的就不是一个游戏，你在模拟活猪，他在模拟活抽水机。,banfo,金句语录,激昂,3b50df33d786983e05e47b6b96b39ca6,9.0,待处理,比喻 + 制造对立,逻辑
它标注了保质期三年，那不是它储存的周期，是大部分火锅店跑路的周期。,banfo,金句语录,激昂,8f7281039efec425641635f09fcca3df,8.0,待处理,重新定义 + 行业洞察,逻辑
肉一煮熟，再一真空密封，别说三年了，甚至孙悟空大闹天宫时候做得午餐肉都能在取经路上吃到。,banfo,金句语录,激昂,9bda0d5b875d45dc0389e823d448f9e0,8.0,待处理,夸张 + 文化梗,逻辑
真正做到一猪传三代，人走猪还在。,banfo,金句语录,激昂,e06caab6109cb1c427eb69dff96f95a3,8.0,待处理,化用俗语,逻辑
这盐一多，别说过熟味全给你盖住了，就连死了的微生物的骨灰都给你再扬一遍。菌菌我呀，渗透压绷不住啦。,banfo,金句语录,激昂,bf0fb8ff69b4af5268b7948962029c08,8.0,待处理,拟人 + 网络用语,逻辑
猪肉一煮会煞白，但亚硝酸钠加一点点，会又变的粉粉嫩嫩的，约等于给猪PS了一下。,banfo,金句语录,激昂,97a63a6843f2c35c4c6365ea730c5792,8.0,待处理,科技解释 + 现代比喻,逻辑
